Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,661.83","2,719.28","2,659.53","2,719.24",41.70,1.55,"5,512,688,979.27"
Sensitive Index,464.76,473.50,464.06,472.60,4.22,0.90,"1,753,367,857.30"
Float Index,182.72,186.43,182.56,186.42,2.39,1.29,"5,445,373,685.90"
Sensitive Float Index,157.17,160.29,156.87,160.02,1.46,0.92,"1,753,367,857.30"
Banking SubIndex,"1,426.34","1,475.95","1,424.95","1,468.68",8.08,0.55,"445,398,173.00"
Development Bank Index,"5,689.33","5,778.86","5,662.26","5,778.86",84.70,1.48,"500,572,441.80"
Finance Index,"2,443.42","2,472.02","2,435.37","2,468.70",22.96,0.93,"194,173,346.90"
Hotels And Tourism,"7,427.97","7,477.96","7,307.50","7,477.96",145.47,1.98,"164,834,923.90"
HydroPower Index,"3,710.19","3,803.86","3,685.65","3,802.89",103.28,2.79,"2,591,994,340.40"
Investment,99.00,100.60,98.37,100.60,1.53,1.55,"227,575,459.50"
Life Insurance,"12,311.13","12,401.51","12,169.31","12,369.66",103.28,0.84,"121,946,734.40"
Manufacturing And Processing,"10,649.50","10,956.79","10,582.38","10,955.40",342.54,3.22,"746,862,054.70"
Microfinance Index,"4,687.93","4,716.58","4,682.24","4,713.32",17.69,0.37,"156,203,711.00"
Mutual Fund,21.72,21.72,21.56,21.72,0.00,-0.02,"6,720,213.68"
Non Life Insurance,"11,043.12","11,149.08","10,946.65","11,092.04",48.92,0.44,"70,715,792.70"
Others Index,"1,917.96","2,012.44","1,917.96","2,005.92",55.00,2.81,"221,964,464.60"
Trading Index,"3,329.20","3,403.27","3,258.55","3,367.24",38.03,1.14,"3,132,243.00"
