rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,372.40,48.50,14.97
2,RLEL,Ridge Line Energy Limited,916.00,117.00,14.64
3,SAIL,Shreenagar Agritech Industries Limited,1069.20,105.50,10.95
4,SOHL,Solu Hydropower Limited,596.00,52.00,9.56
5,RSML,Reliance Spinning Mills Limited,3498.00,298.00,9.31
6,DHPL,Dibyashwari Hydropower Company Limited,315.00,25.00,8.62
7,HATHY,Hathway Investment Nepal Limited,782.00,62.00,8.61
8,SIPD,Shikhar Power Development Limited,675.00,49.00,7.83
9,BJHL,Bhujung Hydropower Limited,808.00,54.00,7.16
10,HIMSTAR,Him Star Urja Company Limited,762.00,48.00,6.72
11,BUNGAL,Bungal Hydro Limited,667.00,41.80,6.69
12,SABBL,Salapa Bikas Bank Limited,973.00,59.00,6.46
13,YMHL,Yambaling Hydropower Limited,623.00,34.90,5.93
14,HRL,Himalayan Reinsurance Limited,616.00,34.10,5.86
15,CKHL,Chirkhwa Hydro Power Limited,648.90,34.90,5.68
