rank,symbol,company_name,turnover,ltp
1,AKJCL,Ankhukhola Hydropower Company Limited,291552154.10,374.40
2,RSML,Reliance Spinning Mills Limited,244657766.00,3498.00
3,RIDI,Ridi Power Company Limited,206648378.90,359.70
4,CORBL,Corporate Development Bank Limited,190810178.70,1498.00
5,NHPC,National Hydro Power Company Limited,158905152.30,280.00
6,SYPNL,SY Panel Nepal Limited,150852842.00,1397.50
7,API,Api Power Company Limited,129148503.00,346.00
8,NRN,NRN Infrastructure and Development Limited,125117245.40,1470.00
9,HRL,Himalayan Reinsurance Limited,113181873.90,616.00
10,NGPL,Ngadi Group Power Limited,107520172.80,428.80
11,SHIVM,Shivam Cements Limited,98990198.10,663.00
12,RADHI,Radhi Bidyut Company Limited,91164182.70,764.90
13,SAHAS,Sahas Urja Limited,83037751.10,666.50
14,NABBC,Narayani Development Bank Limited,81507750.00,815.00
15,SAIL,Shreenagar Agritech Industries Limited,79747450.70,1069.20
