rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,405178704.00,361399894.57,766578598.57,43778809.43000001,59684155.40
2,45,Imperial Securities Co .Pvt.Limited,251660141.00,172601994.77,424262135.77,79058146.22999999,13310985.20
3,48,Trishakti Securities Public Limited,235905507.50,184621695.80,420527203.30,51283811.69999999,84782721.20
4,34,Vision Securities Pvt.Limited,172671482.30,193696899.60,366368381.90,-21025417.299999982,9800387.60
5,62,Capital Max Securities Limited,198099659.00,167314550.70,365414209.70,30785108.300000012,105104238.40
6,44,Dynamic Money Managers Securities Pvt.Ltd,128735712.60,232789686.40,361525399.00,-104053973.80000001,11542822.20
7,42,Sani Securities Company Limited,163447112.03,178470038.00,341917150.03,-15022925.969999999,7979227.80
8,77,Nabil Stock Dealer Limited,198860222.20,119546712.70,318406934.90,79313509.49999999,33008886.60
9,49,Online Securities Limited,151002607.70,162326511.20,313329118.90,-11323903.5,9226881.40
10,57,Arya Tara Investment And Securities Pvt. Ltd.,136937478.70,134706878.50,271644357.20,2230600.199999988,5256620.60
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,132784632.75,125371029.30,258155662.05,7413603.450000003,3181267.80
12,17,ABC Securities Pvt. Limited,127374280.10,104976000.50,232350280.60,22398279.599999994,3851397.00
13,32,Premier Securites Company Limited,95361676.50,122570126.40,217931802.90,-27208449.900000006,2963178.00
14,56,Sri Hari Securities Pvt.Ltd,78754009.20,131344648.79,210098657.99,-52590639.59,21143046.00
15,35,Kohinoor Investment and Securities Pvt.Ltd,104504300.20,101149671.20,205653971.40,3354629.0,3130080.80
