label,value
Total Turnovers (Rs.),"4,693,449,370.68"
Total Traded Shares,"10,077,222"
Total Transaction,"57,782"
Total Scrips Traded,338
Total Market Cap (Rs.),"4,686,058.30 Millions"
Floated Market Cap (Rs.),"1,576,503.90 Millions"
