rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,566.20,73.80,14.99
2,SNORL,Snow Rivers Limited,995.00,120.00,13.71
3,APHL,Appolo Hydropower Limited,930.00,92.50,11.04
4,SIPD,Shikhar Power Development Limited,745.00,58.10,8.46
5,HFIN,Hotel Forest Inn Limited,760.00,53.10,7.51
6,SOPL,Sopan Pharmaceuticals Limited,905.00,62.90,7.47
7,SOHL,Solu Hydropower Limited,623.00,39.00,6.68
8,SAIL,Shreenagar Agritech Industries Limited,1145.00,61.20,5.65
9,SBCF,Sunrise Bluechip Fund,10.18,0.53,5.49
10,SKHEL,Suryakunda Hydro Electric Limited,1060.00,52.00,5.16
11,RLEL,Ridge Line Energy Limited,940.00,46.10,5.16
12,PMLI,Prabhu Mahalaxmi Life Insurance Company Limited,465.00,20.00,4.49
13,BJHL,Bhujung Hydropower Limited,790.00,33.90,4.48
14,SANVI,Sanvi Energy Limited,634.00,27.00,4.45
15,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,590.00,25.00,4.42
