rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,392868146.80,416548796.38,809416943.18,-23680649.579999983,123031329.00
2,77,Nabil Stock Dealer Limited,115070328.00,229506448.60,344576776.60,-114436120.6,21294890.00
3,45,Imperial Securities Co .Pvt.Limited,180219871.30,149435567.20,329655438.50,30784304.100000024,9352522.20
4,49,Online Securities Limited,153285856.10,146773860.00,300059716.10,6511996.099999994,10863020.60
5,48,Trishakti Securities Public Limited,168683098.50,128637162.70,297320261.20,40045935.8,14784148.60
6,42,Sani Securities Company Limited,135319610.60,129164551.70,264484162.30,6155058.899999991,9689777.00
7,34,Vision Securities Pvt.Limited,107402448.20,126507803.40,233910251.60,-19105355.200000003,8101365.00
8,44,Dynamic Money Managers Securities Pvt.Ltd,90138627.10,140225151.90,230363779.00,-50086524.80000001,2779257.20
9,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,85340536.60,139744618.40,225085155.00,-54404081.80000001,3278415.20
10,57,Arya Tara Investment And Securities Pvt. Ltd.,93774734.30,120186632.60,213961366.90,-26411898.299999997,5478326.80
11,17,ABC Securities Pvt. Limited,112651946.00,93635473.90,206287419.90,19016472.099999994,2300701.60
12,62,Capital Max Securities Limited,113428823.90,87303543.10,200732367.00,26125280.800000012,4203066.20
13,35,Kohinoor Investment and Securities Pvt.Ltd,107955464.90,90589147.05,198544611.95,17366317.85000001,5826742.80
14,41,Linch Stock Market Limited,83005653.40,110864723.60,193870377.00,-27859070.199999988,1084349.60
15,60,Nagarik Stock Dealer Company Ltd.,80783064.70,104135124.80,184918189.50,-23352060.099999994,5050480.80
