rank,symbol,company_name,volume,ltp
1,GBIME,Global IME Bank Limited,648297.00,259.40
2,RIDI,Ridi Power Company Limited,575325.00,372.00
3,KBL,Kumari Bank Limited,413903.00,223.00
4,CFCL,Central Finance Limited,413605.00,654.20
5,RBBF40,RBB Focus 40,411785.00,9.00
6,AKJCL,Ankhukhola Hydropower Company Limited,360028.00,369.00
7,SOHL,Solu Hydropower Limited,318237.00,606.30
8,NHPC,National Hydro Power Company Limited,255472.00,268.00
9,LEC,Liberty Energy Company Limited,253807.00,227.70
10,HPPL,Himalayan Power Partner Limited,216411.00,381.90
11,NBL,Nepal Bank Limited,154284.00,271.90
12,LSL,Laxmi Sunrise Bank Limited,147788.00,227.50
13,KKHC,Khani Khola Hydropower Company Limited,142474.00,284.70
14,HDHPC,Himal Dolakha Hydropower Company Limited,133774.00,215.90
15,MBL,Machhapuchchhre Bank Limited,129578.00,261.00
