rank,symbol,company_name,close,change,change_percent
1,KBSH,Kutheli Bukhari Small Hydropower Limited,960.00,-62.00,-6.07
2,SEF,Siddhartha Equity Fund,9.79,-0.61,-5.87
3,MMF1,Mega Mutual Fund - 1,9.12,-0.38,-4.00
4,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1215.00,-43.00,-3.42
5,RBBF40,RBB Focus 40,9.00,-0.29,-3.12
6,HEIP,Himalayan Everest Insurance Limited Promoter,332.00,-10.00,-2.92
7,NBLD87,8.5% Nepal Bank Debenture 2087,1088.00,-32.00,-2.86
8,PMHPL,Panchakanya Mai Hydropower Limited,318.00,-9.00,-2.75
9,SBCF,Sunrise Bluechip Fund,9.68,-0.27,-2.71
10,LVF2,Laxmi Value Fund-II,9.35,-0.25,-2.60
11,NICFC,NIC Asia Flexi Cap Fund,9.22,-0.24,-2.54
12,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1521.00,-39.00,-2.50
13,CIZBD90,10% Citizens Bank Debenture 2090,1211.00,-29.00,-2.34
14,NBLD85,8% Nabil Debenture 2085,1046.00,-24.90,-2.33
15,DHPL,Dibyashwari Hydropower Company Limited,290.00,-6.90,-2.32
