rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,861.00,112.30,15.00
2,LUK,Laxmi Unnati Kosh,10.91,0.91,9.10
3,GSY,Garima Samriddhi Yojana,10.46,0.59,5.98
4,YMHL,Yambaling Hydropower Limited,642.00,27.00,4.39
5,C30MF,Citizens Super 30 Mutual Fund,10.07,0.37,3.81
6,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1513.90,43.90,2.99
7,SGHL,Sanigad Hydro Limited,535.00,15.00,2.88
8,SLCF,Sanima Large Cap Fund,9.97,0.27,2.78
9,SMHL,Super Madi Hydropower Limited,499.90,13.40,2.75
10,KHPL,Kalinchowk Hydropower Limited,944.00,24.00,2.61
11,SOHL,Solu Hydropower Limited,606.30,15.30,2.59
12,NSY,Nepal Life Samriddhi Lagani Yojana,9.60,0.24,2.56
13,SAIL,Shreenagar Agritech Industries Limited,1120.00,27.00,2.47
14,OHL,Oriental Hotel Limited,689.00,15.90,2.36
15,CSY,Citizens Santulit Yojana,9.25,0.20,2.21
