label,value
Total Turnovers (Rs.),"4,427,305,542.17"
Total Traded Shares,"10,421,863"
Total Transaction,"55,580"
Total Scrips Traded,342
Total Market Cap (Rs.),"4,634,420.58 Millions"
Floated Market Cap (Rs.),"1,565,050.81 Millions"
