rank,symbol,company_name,turnover,ltp
1,CFCL,Central Finance Limited,271417307.00,654.20
2,RIDI,Ridi Power Company Limited,212106443.50,372.00
3,SOHL,Solu Hydropower Limited,190916615.40,606.30
4,GBIME,Global IME Bank Limited,167837439.00,259.40
5,RSML,Reliance Spinning Mills Limited,161360121.00,3185.00
6,AKJCL,Ankhukhola Hydropower Company Limited,132585720.70,369.00
7,NRN,NRN Infrastructure and Development Limited,110593280.80,1420.00
8,KBL,Kumari Bank Limited,92677201.10,223.00
9,SAIL,Shreenagar Agritech Industries Limited,89023472.00,1120.00
10,CORBL,Corporate Development Bank Limited,87940961.60,1377.90
11,HPPL,Himalayan Power Partner Limited,81906339.60,381.90
12,NHPC,National Hydro Power Company Limited,69046831.90,268.00
13,MFIL,Manjushree Finance Limited,63158112.10,791.90
14,SMHL,Super Madi Hydropower Limited,62447596.30,499.90
15,SYPNL,SY Panel Nepal Limited,58337824.60,1360.00
