rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,468415901.07,368647123.20,837063024.27,99768777.87,70361919.40
2,41,Linch Stock Market Limited,159622535.00,159632286.60,319254821.60,-9751.59999999404,23612554.00
3,42,Sani Securities Company Limited,116795922.30,124415495.86,241211418.16,-7619573.560000002,8730401.20
4,48,Trishakti Securities Public Limited,122054647.10,113411867.10,235466514.20,8642780.0,8662952.80
5,34,Vision Securities Pvt.Limited,119133886.90,114812184.10,233946071.00,4321702.800000012,7225075.00
6,49,Online Securities Limited,97649921.30,134245078.70,231895000.00,-36595157.39999999,5926283.60
7,45,Imperial Securities Co .Pvt.Limited,122668229.50,107640555.40,230308784.90,15027674.099999994,4168429.80
8,57,Arya Tara Investment And Securities Pvt. Ltd.,121501389.70,108131027.50,229632417.20,13370362.200000003,4970216.20
9,35,Kohinoor Investment and Securities Pvt.Ltd,114523047.50,89389827.28,203912874.78,25133220.22,16236914.00
10,17,ABC Securities Pvt. Limited,102359017.90,96303644.80,198662662.70,6055373.100000009,3924981.40
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,76139973.60,112970196.90,189110170.50,-36830223.30000001,3712974.00
12,44,Dynamic Money Managers Securities Pvt.Ltd,94835053.60,79907408.70,174742462.30,14927644.899999991,7510005.00
13,62,Capital Max Securities Limited,97417399.20,70902998.50,168320397.70,26514400.700000003,3597677.60
14,60,Nagarik Stock Dealer Company Ltd.,89064942.60,78020249.30,167085191.90,11044693.299999997,3285709.00
15,77,Nabil Stock Dealer Limited,103012611.00,63403504.80,166416115.80,39609106.2,6374400.00
