Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,704.71","2,705.83","2,680.87","2,696.67",-4.64,-0.17,"4,427,298,446.66"
Sensitive Index,471.74,471.91,468.28,470.79,-0.70,-0.14,"1,369,521,438.00"
Float Index,185.64,185.82,184.17,185.22,-0.31,-0.16,"4,379,490,102.54"
Sensitive Float Index,160.10,160.11,158.71,159.70,-0.18,-0.11,"1,369,521,438.00"
Banking SubIndex,"1,492.65","1,496.91","1,479.20","1,489.62",-1.13,-0.07,"666,198,466.50"
Development Bank Index,"5,696.36","5,740.67","5,677.44","5,722.99",-10.97,-0.19,"246,670,617.90"
Finance Index,"2,431.52","2,464.20","2,431.52","2,449.52",1.48,0.06,"451,613,233.00"
Hotels And Tourism,"7,374.56","7,427.21","7,336.01","7,388.24",13.68,0.18,"113,453,874.80"
HydroPower Index,"3,729.95","3,756.46","3,710.31","3,749.73",5.94,0.15,"1,885,394,587.14"
Investment,100.11,100.11,98.94,98.98,-0.76,-0.76,"181,251,031.60"
Life Insurance,"12,154.36","12,173.90","12,071.02","12,093.88",-70.87,-0.58,"69,393,914.10"
Manufacturing And Processing,"10,883.84","10,883.84","10,663.73","10,764.11",-28.70,-0.26,"506,127,844.00"
Microfinance Index,"4,640.59","4,663.02","4,627.20","4,649.51",-6.23,-0.13,"99,000,388.20"
Mutual Fund,21.24,21.25,21.02,21.14,-0.09,-0.46,"8,853,700.33"
Non Life Insurance,"10,875.18","10,905.96","10,793.22","10,848.47",-26.70,-0.24,"36,705,112.40"
Others Index,"2,001.57","2,005.34","1,948.72","1,953.28",-15.84,-0.80,"106,145,827.90"
Trading Index,"3,372.01","3,432.73","3,327.35","3,397.01",25.00,0.74,"17,535,205.00"
