rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3516,535.00
2,KAHL,Kalanga Hydro Limited,2248,561.30
3,SOHL,Solu Hydropower Limited,1861,606.30
4,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1518,560.00
5,YMHL,Yambaling Hydropower Limited,1422,642.00
6,SOPL,Sopan Pharmaceuticals Limited,1241,848.00
7,CORBL,Corporate Development Bank Limited,1108,1377.90
8,GBIME,Global IME Bank Limited,1084,259.40
9,SNORL,Snow Rivers Limited,965,926.00
10,RSML,Reliance Spinning Mills Limited,890,3185.00
11,PCIL,Palpa Cements Industries Limited,877,655.00
12,RIDI,Ridi Power Company Limited,875,372.00
13,HRL,Himalayan Reinsurance Limited,871,596.00
14,KBL,Kumari Bank Limited,852,223.00
15,HFIN,Hotel Forest Inn Limited,815,724.10
