rank,symbol,company_name,turnover,ltp
1,HDHPC,Himal Dolakha Hydropower Company Limited,379564213.90,228.00
2,RSML,Reliance Spinning Mills Limited,251011786.60,2810.00
3,SHIVM,Shivam Cements Limited,165709479.50,676.30
4,SOHL,Solu Hydropower Limited,150792021.80,653.00
5,LEC,Liberty Energy Company Limited,146832688.30,250.00
6,NRN,NRN Infrastructure and Development Limited,128238637.00,1439.90
7,SSHL,Shiva Shree Hydropower Limited,120351408.80,212.00
8,TAMOR,Sanima Middle Tamor Hydropower Limited,120246184.20,526.10
9,CHDC,CEDB Holdings Limited,114824674.90,2368.00
10,MEN,Mountain Energy Nepal Limited,97487575.50,652.70
11,RIDI,Ridi Power Company Limited,88383079.60,349.20
12,KBL,Kumari Bank Limited,86833874.40,218.00
13,API,Api Power Company Limited,84917591.40,339.10
14,GBBL,Garima Bikas Bank Limited,75118552.50,453.30
15,KKHC,Khani Khola Hydropower Company Limited,73429239.60,288.00
