rank,symbol,company_name,volume,ltp
1,HDHPC,Himal Dolakha Hydropower Company Limited,1663890.00,228.00
2,LEC,Liberty Energy Company Limited,580098.00,250.00
3,SSHL,Shiva Shree Hydropower Limited,561763.00,212.00
4,NIBLGF,NIBL Growth Fund,406450.00,8.48
5,KBL,Kumari Bank Limited,398524.00,218.00
6,LSL,Laxmi Sunrise Bank Limited,313812.00,232.50
7,BHL,Balephi Hydropower Limited,295942.00,216.10
8,NMBHF2,NMB Hybrid Fund L-II,285500.00,8.47
9,KKHC,Khani Khola Hydropower Company Limited,256907.00,288.00
10,GHL,Ghalemdi Hydro Limited,256666.00,245.70
11,RIDI,Ridi Power Company Limited,252869.00,349.20
12,API,Api Power Company Limited,249346.00,339.10
13,SHIVM,Shivam Cements Limited,243901.00,676.30
14,RSY2,Reliable Samriddhi Yojana-2,241553.00,9.05
15,HURJA,Himalaya Urja Bikas Company Limited,235007.00,257.00
