rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,407654486.10,410342479.79,817996965.89,-2687993.6899999976,122285025.00
2,45,Imperial Securities Co. Limited,196358876.50,214960481.90,411319358.40,-18601605.400000006,30340005.00
3,34,Vision Securities Pvt.Limited,165572883.76,191275990.20,356848873.96,-25703106.439999998,15809823.00
4,49,Online Securities Limited,126575557.60,208023915.40,334599473.00,-81448357.80000001,12591485.20
5,42,Sani Securities Company Limited,155725256.90,178869610.30,334594867.20,-23144353.400000006,10874769.20
6,17,ABC Securities Pvt. Limited,213633109.65,117315761.60,330948871.25,96317348.05000001,7893740.40
7,77,Nabil Stock Dealer Limited,134896647.10,152741478.60,287638125.70,-17844831.5,20203024.00
8,57,Arya Tara Investment And Securities Pvt. Ltd.,142285824.70,120017190.60,262303015.30,22268634.099999994,6439854.60
9,48,Trishakti Securities Public Limited,135718810.82,124225514.10,259944324.92,11493296.719999999,10186816.00
10,44,Dynamic Money Managers Securities Pvt.Ltd,121586747.80,134542338.19,256129085.99,-12955590.39,12547105.00
11,14,Nepal Stock House Pvt. Limited,120491984.90,120992264.10,241484249.00,-500279.1999999881,4877455.20
12,35,Kohinoor Investment and Securities Pvt.Ltd,114300742.60,118894615.40,233195358.00,-4593872.800000012,2157619.20
13,33,Dakshinkali Investment Securities Pvt.Limited,130101254.00,93893423.50,223994677.50,36207830.5,10947336.00
14,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,115174587.60,97282202.70,212456790.30,17892384.89999999,4907118.40
15,74,KALASH STOCK MARKET PVT. LTD.,86191489.40,109675217.60,195866707.00,-23483728.199999988,2203585.60
