rank,symbol,company_name,transactions,ltp
1,HDHPC,Himal Dolakha Hydropower Company Limited,3316,228.00
2,SSHL,Shiva Shree Hydropower Limited,1398,212.00
3,MEPDL,Mount Everest Power Development Limited,1390,703.00
4,SOHL,Solu Hydropower Limited,1029,653.00
5,SGHL,Sanigad Hydro Limited,1015,497.00
6,LEC,Liberty Energy Company Limited,982,250.00
7,RSML,Reliance Spinning Mills Limited,947,2810.00
8,KBL,Kumari Bank Limited,920,218.00
9,BHL,Balephi Hydropower Limited,858,216.10
10,API,Api Power Company Limited,749,339.10
11,SHIVM,Shivam Cements Limited,705,676.30
12,TAMOR,Sanima Middle Tamor Hydropower Limited,674,526.10
13,KKHC,Khani Khola Hydropower Company Limited,663,288.00
14,PCIL,Palpa Cements Industries Limited,661,618.00
15,SAPIL,Sarvottam Paints Industries Limited,643,1400.00
