Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,636.07","2,639.41","2,604.04","2,612.42",-21.19,-0.80,"5,389,572,356.00"
Sensitive Index,468.29,468.66,462.56,463.68,-3.77,-0.80,"1,747,389,007.10"
Float Index,181.29,181.48,179.05,179.63,-1.50,-0.83,"5,325,046,224.90"
Sensitive Float Index,158.17,158.29,156.18,156.58,-1.32,-0.84,"1,747,389,007.10"
Banking SubIndex,"1,493.06","1,493.07","1,474.50","1,478.89",-9.46,-0.63,"670,575,158.90"
Development Bank Index,"5,492.54","5,498.96","5,441.01","5,452.40",-40.13,-0.73,"256,581,952.80"
Finance Index,"2,265.66","2,295.82","2,249.75","2,262.82",-17.50,-0.76,"134,640,637.00"
Hotels And Tourism,"7,154.48","7,198.64","7,092.44","7,124.96",-61.69,-0.85,"106,351,738.50"
HydroPower Index,"3,648.47","3,657.69","3,599.06","3,611.01",-37.97,-1.04,"2,687,155,030.20"
Investment,98.46,98.89,96.86,97.62,-0.80,-0.81,"316,845,994.90"
Life Insurance,"11,802.25","11,807.16","11,595.16","11,642.71",-118.90,-1.01,"97,782,304.70"
Manufacturing And Processing,"10,711.03","10,711.03","10,557.93","10,620.39",-58.92,-0.55,"691,566,333.80"
Microfinance Index,"4,538.83","4,551.18","4,492.71","4,509.90",-37.73,-0.82,"198,540,728.60"
Mutual Fund,19.63,19.63,19.50,19.51,-0.12,-0.64,"14,323,872.35"
Non Life Insurance,"9,833.95","9,861.24","9,669.03","9,745.87",-89.97,-0.91,"72,326,298.10"
Others Index,"1,854.80","1,869.40","1,824.25","1,838.53",-16.26,-0.87,"84,949,702.80"
Trading Index,"3,298.63","3,340.77","3,259.87","3,275.42",-23.21,-0.70,"7,730,344.60"
