rank,symbol,company_name,close,change,change_percent
1,NABBC,Narayani Development Bank Limited,745.00,44.60,6.37
2,ICFCD83,12% ICFC Finance Limited Debenture 2083,921.20,52.80,6.08
3,HDHPC,Himal Dolakha Hydropower Company Limited,228.00,11.50,5.31
4,MEPDL,Mount Everest Power Development Limited,703.00,29.50,4.38
5,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,854.00,35.50,4.34
6,BNL,Bottlers Nepal Limited (Balaju),14000.00,485.00,3.59
7,SLCF,Sanima Large Cap Fund,9.48,0.28,3.04
8,UNL,Unilever Nepal Limited,48410.00,1410.00,3.00
9,MND84/85,8.75% Muktinath Debenture/Rinpatra 2084/85,1068.00,30.30,2.92
10,NICFC,NIC Asia Flexi Cap Fund,8.96,0.25,2.87
11,KKHC,Khani Khola Hydropower Company Limited,288.00,8.00,2.86
12,SNORL,Snow Rivers Limited,919.90,25.00,2.79
13,PFL,Pokhara Finance Limited,373.00,9.00,2.47
14,HEIP,Himalayan Everest Insurance Limited Promoter,320.00,7.00,2.24
15,CHDC,CEDB Holdings Limited,2368.00,50.00,2.16
