label,value
Total Turnovers (Rs.),"5,389,574,648.00"
Total Traded Shares,"15,101,555"
Total Transaction,"55,831"
Total Scrips Traded,350
Total Market Cap (Rs.),"4,496,722.85 Millions"
Floated Market Cap (Rs.),"1,520,785.00 Millions"
