S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,22.93,565.00,579.30,565.00,571.20,571.20,0.00,0.00,569.07,99.00,571.00,"56,338.00",8,0.20,14.30,0.04,2.53,0.37,982.00,547.50
2,ADBL,36.20,234.00,239.90,233.50,235.50,235.50,0.00,0.00,235.22,"16,448.00",237.40,"3,868,828.30",142,-1.90,6.40,-0.80,2.74,0.12,389.00,230.00
3,ADLB,42.45,"1,400.00","1,400.00","1,352.00","1,382.00","1,382.00",0.00,0.00,"1,365.80",205.00,"1,397.00","279,990.00",15,-15.00,48.00,-1.07,3.55,1.17,"2,705.00",256.80
4,AHL,32.80,383.00,385.00,371.50,376.00,376.00,0.00,0.00,374.08,"3,490.00",379.00,"1,305,532.00",154,-3.00,13.50,-0.79,3.63,0.51,480.90,298.80
5,AHPC,30.33,299.00,301.90,292.00,292.00,292.00,0.00,0.00,296.79,"59,209.00",297.00,"17,572,662.30",162,-5.00,9.90,-1.68,3.39,-1.64,457.00,250.00
6,AIL,35.99,410.00,422.80,408.20,410.00,410.00,0.00,0.00,416.03,"2,611.00",415.00,"1,086,252.60",58,-5.00,14.60,-1.20,3.58,-1.47,652.00,344.00
7,AKJCL,49.47,238.60,238.60,230.00,230.70,230.70,0.00,0.00,232.99,"69,851.00",234.00,"16,274,718.20",230,-3.30,8.60,-1.41,3.74,-0.99,266.00,159.80
8,AKPL,35.04,396.70,396.70,386.00,386.00,386.00,0.00,0.00,388.52,"14,481.00",389.00,"5,626,087.30",155,-3.00,10.70,-0.77,2.77,-0.65,519.00,325.00
9,ALBSL,36.81,727.10,727.10,697.00,699.00,699.00,0.00,0.00,707.18,431.00,713.00,"304,793.90",15,-14.00,30.10,-1.96,4.32,-1.17,"1,428.00",657.00
10,ALICL,26.05,570.00,571.00,565.00,568.00,568.00,0.00,0.00,566.72,"3,570.00",570.00,"2,023,175.60",49,-2.00,6.00,-0.35,1.06,0.23,837.00,428.00
11,API,37.18,250.00,251.00,246.00,247.00,247.00,0.00,0.00,248.50,"41,254.00",248.00,"10,251,530.90",222,-1.00,5.00,-0.40,2.03,-0.61,327.00,200.00
12,AVYAN,33.44,591.00,595.00,590.10,590.20,590.20,0.00,0.00,590.96,610.00,600.00,"360,487.00",35,-9.80,4.90,-1.63,0.83,-0.13,963.00,316.00
13,BARUN,38.38,257.90,262.90,250.00,250.00,250.00,0.00,0.00,251.98,"7,948.00",253.00,"2,002,720.90",77,-3.00,12.90,-1.19,5.16,-0.79,541.60,190.30
14,BBC,34.15,"3,107.00","3,107.00","3,100.00","3,100.00","3,100.00",0.00,0.00,"3,104.60",100.00,"3,120.00","310,460.00",7,-20.00,7.00,-0.64,0.23,-0.15,"4,300.00","3,050.00"
15,BFC,33.83,315.00,315.00,310.00,310.00,310.00,0.00,0.00,312.47,"2,113.00",313.00,"660,241.50",15,-3.00,5.00,-0.96,1.61,-0.80,475.00,292.50
16,BHDC,28.67,409.20,415.00,409.20,410.10,410.10,0.00,0.00,410.68,"1,632.00",417.00,"670,224.20",87,-6.90,5.80,-1.65,1.42,-0.14,520.00,310.00
17,BHL,38.61,308.70,310.00,300.00,308.80,308.80,0.00,0.00,304.05,"2,875.00",315.00,"874,155.00",111,-6.20,10.00,-1.97,3.33,1.54,397.00,104.70
18,BHPL,35.03,491.50,491.50,475.00,479.90,479.90,0.00,0.00,478.01,"1,163.00",481.90,"555,924.70",54,-2.00,16.50,-0.42,3.47,0.39,677.20,194.30
19,BNHC,31.34,377.50,390.00,377.50,388.00,388.00,0.00,0.00,383.61,"1,160.00",385.00,"444,982.00",27,3.00,12.50,0.78,3.31,1.13,510.00,306.00
20,BNT,27.00,"11,654.00","11,887.00","11,654.00","11,675.00","11,675.00",0.00,0.00,"11,738.67",30.00,"11,700.00","352,160.00",3,-25.00,233.00,-0.21,2.00,-0.55,"15,371.30","11,396.00"
21,BPCL,47.56,306.80,319.00,306.80,318.00,318.00,0.00,0.00,316.44,"7,452.00",313.00,"2,358,090.50",71,5.00,12.20,1.60,3.98,0.49,392.70,288.00
22,CBBL,29.61,805.00,805.00,794.00,794.00,794.00,0.00,0.00,796.70,"5,611.00",797.00,"4,470,274.50",100,-3.00,11.00,-0.38,1.39,-0.34,"1,303.00",727.00
23,CCBD88,32.49,897.10,897.10,897.10,897.10,897.10,0.00,0.00,897.10,27.00,898.50,"24,221.70",2,-1.40,0.00,-0.16,0.00,0.00,"1,000.00",816.00
24,CFCL,31.42,309.90,310.00,298.00,300.00,300.00,0.00,0.00,302.96,"2,303.00",307.00,"697,719.50",31,-7.00,12.00,-2.28,4.03,-0.99,408.00,237.00
25,CGH,29.66,"1,120.00","1,136.90","1,110.00","1,110.00","1,110.00",0.00,0.00,"1,121.06","1,873.00","1,120.00","2,099,753.00",47,-10.00,26.90,-0.89,2.42,-1.00,"1,487.00",900.20
26,CHCL,27.31,477.20,481.00,475.60,478.00,478.00,0.00,0.00,478.14,"12,907.00",479.00,"6,171,365.00",86,-1.00,5.40,-0.21,1.14,-0.03,504.10,347.90
27,CHDC,45.06,733.00,739.00,721.30,724.00,724.00,0.00,0.00,727.81,"2,410.00",720.00,"1,754,028.00",74,4.00,17.70,0.56,2.45,-0.53,869.00,590.00
28,CHL,39.55,315.90,315.90,302.30,305.00,305.00,0.00,0.00,304.24,"7,752.00",310.00,"2,358,475.50",52,-5.00,13.60,-1.61,4.50,0.25,370.00,193.10
29,CIT,38.62,"2,022.00","2,054.00","2,000.10","2,005.00","2,005.00",0.00,0.00,"2,021.80","5,374.00","2,037.00","10,865,141.10",141,-32.00,53.90,-1.57,2.69,-0.84,"3,072.00","1,780.00"
30,CLBSL,31.93,600.00,600.00,588.00,592.00,592.00,0.00,0.00,594.42,200.00,599.00,"118,884.00",8,-7.00,12.00,-1.17,2.04,-0.41,"1,018.00",551.00
31,CMF1,38.06,8.04,8.04,7.88,7.88,7.88,0.00,0.00,7.96,"4,000.00",8.20,"31,840.00",2,-0.32,0.16,-3.90,2.03,-1.02,9.30,6.75
32,CMF2,20.19,7.35,7.35,7.35,7.35,7.35,0.00,0.00,7.35,100.00,7.21,735.00,1,0.14,0.00,1.94,0.00,0.00,10.36,7.03
33,CORBL,32.57,300.00,309.00,290.00,290.00,290.00,0.00,0.00,294.01,"1,525.00",295.00,"448,362.00",28,-5.00,19.00,-1.69,6.55,-1.38,524.00,211.30
34,CZBIL,24.51,173.00,177.00,173.00,173.90,173.90,0.00,0.00,174.26,"6,452.00",175.00,"1,124,300.00",79,-1.10,4.00,-0.63,2.31,-0.20,259.00,169.00
35,DDBL,41.63,662.70,669.00,657.10,660.00,660.00,0.00,0.00,661.63,"3,047.00",662.70,"2,015,976.40",44,-2.70,11.90,-0.41,1.81,-0.25,"1,178.00",630.00
36,DHPL,39.06,219.80,219.80,211.20,216.00,216.00,0.00,0.00,216.29,265.00,217.90,"57,317.00",12,-1.90,8.60,-0.87,4.07,-0.13,276.30,160.10
37,DLBS,35.05,791.30,810.00,774.20,774.20,774.20,0.00,0.00,780.51,"2,690.00",791.30,"2,099,564.30",50,-17.10,35.80,-2.16,4.62,-0.81,"1,662.00",177.70
38,DORDI,34.83,287.00,292.00,283.00,286.00,286.00,0.00,0.00,285.34,"5,317.00",290.00,"1,517,171.50",109,-4.00,9.00,-1.38,3.18,0.23,408.00,217.00
39,EBL,39.12,538.50,538.50,524.50,529.90,529.90,0.00,0.00,526.28,"60,401.00",528.00,"31,787,743.50",204,1.90,14.00,0.36,2.67,0.68,558.90,411.00
40,EDBL,33.72,289.50,289.50,284.00,285.00,285.00,0.00,0.00,284.70,"5,308.00",286.70,"1,511,180.60",21,-1.70,5.50,-0.59,1.94,0.11,442.80,273.40
41,EHPL,36.34,383.10,394.70,383.00,394.70,394.70,0.00,0.00,389.01,"1,410.00",390.00,"548,500.00",51,4.70,11.70,1.21,3.05,1.44,508.00,216.00
42,ENL,39.66,645.00,669.80,633.00,650.00,650.00,0.00,0.00,645.86,395.00,645.60,"255,116.00",24,4.40,36.80,0.68,5.81,0.64,869.00,535.00
43,FMDBL,30.23,530.00,533.00,520.10,520.40,520.40,0.00,0.00,524.19,"6,925.00",527.60,"3,630,027.80",68,-7.20,12.90,-1.36,2.48,-0.73,780.00,503.00
44,FOWAD,44.43,"1,245.00","1,245.00","1,210.00","1,214.90","1,214.90",0.00,0.00,"1,217.05","1,279.00","1,228.00","1,556,613.00",39,-13.10,35.00,-1.07,2.89,-0.18,"2,950.00","1,130.10"
45,GBBD85,41.00,799.80,800.10,799.80,800.00,800.00,0.00,0.00,799.93,50.00,784.20,"39,996.50",3,15.80,0.30,2.01,0.04,0.01,"1,000.00",722.50
46,GBBL,46.55,365.00,366.00,357.00,363.00,363.00,0.00,0.00,361.23,"14,513.00",367.00,"5,242,570.60",78,-4.00,9.00,-1.09,2.52,0.49,440.00,318.00
47,GBILD86/87,27.34,770.00,770.00,760.10,762.20,762.20,0.00,0.00,763.31,60.00,760.00,"45,798.50",4,2.20,9.90,0.29,1.30,-0.15,980.00,730.00
48,GBIME,28.43,192.00,192.00,188.00,189.90,189.90,0.00,0.00,189.70,"66,958.00",190.40,"12,701,926.60",354,-0.50,4.00,-0.26,2.13,0.11,315.00,178.10
49,GBLBS,45.24,452.00,460.00,445.10,454.80,454.80,0.00,0.00,449.18,"1,615.00",445.10,"725,432.00",32,9.70,14.90,2.18,3.35,1.23,900.00,435.60
50,GFCL,28.84,426.10,442.00,426.10,437.00,437.00,0.00,0.00,434.14,"1,590.00",433.00,"690,283.90",18,4.00,15.90,0.92,3.73,0.65,634.00,358.00
51,GHL,35.51,263.00,263.00,255.10,256.00,256.00,0.00,0.00,256.56,"13,888.00",261.00,"3,563,039.30",71,-5.00,7.90,-1.92,3.10,-0.22,309.00,164.20
52,GIBF1,39.07,8.07,8.17,8.01,8.02,8.02,0.00,0.00,8.05,"1,600.00",8.07,"12,885.00",12,-0.05,0.16,-0.62,2.00,-0.41,10.00,7.50
53,GILB,25.75,801.00,801.00,780.00,790.00,790.00,0.00,0.00,786.03,"1,184.00",799.00,"930,658.00",27,-9.00,21.00,-1.13,2.69,0.50,"1,482.50",665.10
54,GLBSL,33.02,730.00,730.00,697.00,697.00,697.00,0.00,0.00,717.15,240.00,734.70,"172,117.00",12,-37.70,33.00,-5.13,4.73,-2.89,"1,260.00",664.00
