S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,408.00,416.00,410.00,410.00,410.00,0.00,0.00,413.07,401.00,408.00,"165,640.00",5,2.00,6.00,0.00,1.46,-0.75,0.00,0.00
2,AHPC,-,331.00,325.00,314.00,319.00,319.00,0.00,0.00,318.24,"3,088.00",331.00,"982,731.00",18,-12.00,11.00,0.00,3.50,0.24,0.00,0.00
3,ALDBL,-,313.00,319.00,313.00,313.00,313.00,0.00,0.00,314.93,726.00,313.00,"228,636.00",8,0.00,6.00,0.00,1.92,-0.62,0.00,0.00
4,ALICL,-,995.00,"1,009.00",976.00,"1,009.00","1,009.00",0.00,0.00,987.65,"1,758.00",995.00,"1,736,287.00",10,14.00,33.00,0.00,3.38,2.12,0.00,0.00
5,APEX,-,120.00,120.00,119.00,120.00,120.00,0.00,0.00,119.87,311.00,120.00,"37,280.00",2,0.00,1.00,0.00,0.84,0.11,0.00,0.00
6,ARDBL,-,187.00,184.00,178.00,178.00,178.00,0.00,0.00,178.95,522.00,187.00,"93,412.00",7,-9.00,6.00,0.00,3.37,-0.53,0.00,0.00
7,BGDBL,-,282.00,287.00,287.00,287.00,287.00,0.00,0.00,287.00,100.00,282.00,"28,700.00",1,5.00,0.00,0.00,0.00,0.00,0.00,0.00
8,BHBL,-,295.00,306.00,299.00,300.00,300.00,0.00,0.00,300.11,"1,601.00",295.00,"480,476.00",6,5.00,7.00,0.00,2.34,-0.04,0.00,0.00
9,BLDBL,-,312.00,315.00,312.00,315.00,315.00,0.00,0.00,314.64,101.00,312.00,"31,779.00",2,3.00,3.00,0.00,0.96,0.11,0.00,0.00
10,BOK,-,565.00,570.00,560.00,565.00,565.00,0.00,0.00,566.92,"8,610.00",565.00,"4,881,224.00",28,0.00,10.00,0.00,1.79,-0.34,0.00,0.00
11,BUDBL,-,201.00,200.00,200.00,200.00,200.00,0.00,0.00,200.00,441.00,201.00,"88,200.00",3,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
12,CBBL,-,"1,792.00","1,830.00","1,790.00","1,801.00","1,801.00",0.00,0.00,"1,811.53","4,287.00","1,792.00","7,766,044.00",30,9.00,40.00,0.00,2.23,-0.58,0.00,0.00
13,CBL,-,270.00,271.00,266.00,270.00,270.00,0.00,0.00,269.67,"24,349.00",270.00,"6,566,126.00",33,0.00,5.00,0.00,1.88,0.12,0.00,0.00
14,CCBL,-,321.00,319.00,311.00,315.00,315.00,0.00,0.00,312.22,"9,570.00",321.00,"2,987,962.00",41,-6.00,8.00,0.00,2.57,0.88,0.00,0.00
15,CDBL,-,330.00,336.00,325.00,336.00,336.00,0.00,0.00,331.45,586.00,330.00,"194,227.00",15,6.00,11.00,0.00,3.38,1.36,0.00,0.00
16,CFCL,-,167.00,167.00,167.00,167.00,167.00,0.00,0.00,167.00,72.00,167.00,"12,024.00",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,CHCL,-,"1,540.00","1,552.00","1,539.00","1,539.00","1,539.00",0.00,0.00,"1,546.69","4,955.00","1,540.00","7,663,829.00",36,-1.00,13.00,0.00,0.84,-0.50,0.00,0.00
18,CNDBL,-,147.00,149.00,147.00,149.00,149.00,0.00,0.00,148.33,90.00,147.00,"13,350.00",4,2.00,2.00,0.00,1.36,0.45,0.00,0.00
19,CZBIL,-,454.00,458.00,452.00,458.00,458.00,0.00,0.00,454.80,"2,371.00",454.00,"1,078,322.00",19,4.00,6.00,0.00,1.33,0.70,0.00,0.00
20,DDBL,-,"1,160.00","1,243.00","1,183.00","1,243.00","1,243.00",0.00,0.00,"1,211.27","4,042.00","1,160.00","4,895,949.00",17,83.00,60.00,0.00,5.07,2.55,0.00,0.00
21,EBL,-,"2,091.00","2,100.00","2,089.00","2,091.00","2,091.00",0.00,0.00,"2,093.04","4,237.00","2,091.00","8,868,195.00",34,0.00,11.00,0.00,0.53,-0.10,0.00,0.00
22,EBLCP,-,"1,001.00",986.00,986.00,986.00,986.00,0.00,0.00,986.00,96.00,"1,001.00","94,656.00",1,-15.00,0.00,0.00,0.00,0.00,0.00,0.00
23,EIC,-,800.00,790.00,790.00,790.00,790.00,0.00,0.00,790.00,"1,000.00",800.00,"790,000.00",5,-10.00,0.00,0.00,0.00,0.00,0.00,0.00
24,EKBL,-,283.00,287.00,285.00,285.00,285.00,0.00,0.00,285.26,562.00,283.00,"160,316.00",11,2.00,2.00,0.00,0.70,-0.09,0.00,0.00
25,FMDBL,-,546.00,560.00,550.00,550.00,550.00,0.00,0.00,552.59,"5,210.00",546.00,"2,879,010.00",14,4.00,10.00,0.00,1.82,-0.47,0.00,0.00
26,GABL,-,320.00,338.00,326.00,338.00,338.00,0.00,0.00,332.43,140.00,320.00,"46,540.00",3,18.00,12.00,0.00,3.68,1.65,0.00,0.00
27,GBIME,-,440.00,445.00,438.00,440.00,440.00,0.00,0.00,439.95,"5,808.00",440.00,"2,555,258.00",27,0.00,7.00,0.00,1.60,0.01,0.00,0.00
28,GDBL,-,328.00,328.00,328.00,328.00,328.00,0.00,0.00,328.00,200.00,328.00,"65,600.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,GLICL,-,550.00,550.00,545.00,550.00,550.00,0.00,0.00,547.49,"2,010.00",550.00,"1,100,460.00",7,0.00,5.00,0.00,0.92,0.46,0.00,0.00
30,HAMA,-,150.00,153.00,150.00,153.00,153.00,0.00,0.00,152.10,680.00,150.00,"103,430.00",6,3.00,3.00,0.00,2.00,0.59,0.00,0.00
31,HBL,-,820.00,824.00,817.00,819.00,819.00,0.00,0.00,821.17,836.00,820.00,"686,497.00",6,-1.00,7.00,0.00,0.86,-0.26,0.00,0.00
32,IDBL,-,171.00,173.00,170.00,171.00,171.00,0.00,0.00,172.32,"1,835.00",171.00,"316,199.00",8,0.00,3.00,0.00,1.76,-0.77,0.00,0.00
33,ILFC,-,147.00,147.00,145.00,147.00,147.00,0.00,0.00,145.14,"1,414.00",147.00,"205,230.00",4,0.00,2.00,0.00,1.38,1.26,0.00,0.00
34,INDB,-,375.00,380.00,371.00,371.00,371.00,0.00,0.00,372.12,"1,866.00",375.00,"694,368.00",3,-4.00,9.00,0.00,2.43,-0.30,0.00,0.00
35,INDBL,-,173.00,175.00,172.00,175.00,175.00,0.00,0.00,173.50,"1,000.00",173.00,"173,500.00",2,2.00,3.00,0.00,1.74,0.86,0.00,0.00
36,JBBL,-,161.00,172.00,164.00,172.00,172.00,0.00,0.00,166.30,"1,323.00",161.00,"220,012.00",8,11.00,8.00,0.00,4.88,3.32,0.00,0.00
37,JBBLPO,-,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,"20,000.00",100.00,"2,000,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,JBNL,-,272.00,273.00,269.00,273.00,273.00,0.00,0.00,269.81,"1,704.00",272.00,"459,752.00",9,1.00,4.00,0.00,1.49,1.17,0.00,0.00
39,JFL,-,365.00,372.00,365.00,372.00,372.00,0.00,0.00,369.40,"1,405.00",365.00,"519,006.00",4,7.00,7.00,0.00,1.92,0.70,0.00,0.00
40,KAFIL,-,234.00,242.00,237.00,241.00,241.00,0.00,0.00,240.19,640.00,234.00,"153,720.00",5,7.00,5.00,0.00,2.11,0.34,0.00,0.00
41,KBBL,-,352.00,350.00,350.00,350.00,350.00,0.00,0.00,350.00,335.00,352.00,"117,250.00",3,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
42,KBL,-,370.00,380.00,365.00,379.00,379.00,0.00,0.00,366.08,"58,368.00",370.00,"21,367,396.00",24,9.00,15.00,0.00,4.11,3.41,0.00,0.00
43,KDBL,-,156.00,161.00,152.00,154.00,154.00,0.00,0.00,153.12,825.00,156.00,"126,321.00",10,-2.00,9.00,0.00,5.92,0.57,0.00,0.00
44,KMBL,-,330.00,331.00,330.00,330.00,330.00,0.00,0.00,330.51,"1,487.00",330.00,"491,462.00",18,0.00,1.00,0.00,0.30,-0.15,0.00,0.00
45,KMCDB,-,"1,050.00","1,100.00","1,050.00","1,100.00","1,100.00",0.00,0.00,"1,065.74","2,272.00","1,050.00","2,421,356.00",17,50.00,50.00,0.00,4.76,3.11,0.00,0.00
46,KRBL,-,245.00,249.00,249.00,249.00,249.00,0.00,0.00,249.00,30.00,245.00,"7,470.00",1,4.00,0.00,0.00,0.00,0.00,0.00,0.00
47,LBL,-,400.00,408.00,401.00,401.00,401.00,0.00,0.00,404.65,"3,316.00",400.00,"1,341,822.00",15,1.00,7.00,0.00,1.75,-0.91,0.00,0.00
48,LFLC,-,193.00,195.00,195.00,195.00,195.00,0.00,0.00,195.00,529.00,193.00,"103,155.00",3,2.00,0.00,0.00,0.00,0.00,0.00,0.00
49,LGIL,-,325.00,331.00,319.00,331.00,331.00,0.00,0.00,325.59,535.00,325.00,"174,188.00",6,6.00,12.00,0.00,3.76,1.64,0.00,0.00
50,LICN,-,"2,810.00","2,815.00","2,780.00","2,780.00","2,780.00",0.00,0.00,"2,798.99","1,187.00","2,810.00","3,322,405.00",5,-30.00,35.00,0.00,1.26,-0.68,0.00,0.00
51,LLBS,-,794.00,820.00,800.00,820.00,820.00,0.00,0.00,801.31,"2,625.00",794.00,"2,103,440.00",26,26.00,20.00,0.00,2.50,2.28,0.00,0.00
52,LUBL,-,341.00,343.00,340.00,341.00,341.00,0.00,0.00,341.10,"5,514.00",341.00,"1,880,835.00",12,0.00,3.00,0.00,0.88,-0.03,0.00,0.00
53,LVF1,-,10.00,10.00,10.00,10.00,10.00,0.00,0.00,10.00,"10,000.00",10.00,"100,000.00",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,MBBL,-,185.00,188.00,187.00,188.00,188.00,0.00,0.00,187.31,404.00,185.00,"75,672.00",2,3.00,1.00,0.00,0.53,0.37,0.00,0.00
55,MBL,-,565.00,569.00,553.00,563.00,563.00,0.00,0.00,554.79,"49,705.00",565.00,"27,575,692.00",37,-2.00,16.00,0.00,2.89,1.46,0.00,0.00
56,MDB,-,499.00,504.00,490.00,492.00,492.00,0.00,0.00,493.64,"1,650.00",499.00,"814,502.00",7,-7.00,14.00,0.00,2.86,-0.33,0.00,0.00
57,MDBL,-,236.00,240.00,236.00,236.00,236.00,0.00,0.00,236.16,251.00,236.00,"59,276.00",3,0.00,4.00,0.00,1.69,-0.07,0.00,0.00
58,MLBBL,-,904.00,940.00,904.00,940.00,940.00,0.00,0.00,930.00,108.00,904.00,"100,440.00",6,36.00,36.00,0.00,3.98,1.06,0.00,0.00
59,MMDBL,-,922.00,904.00,904.00,904.00,904.00,0.00,0.00,904.00,10.00,922.00,"9,040.00",1,-18.00,0.00,0.00,0.00,0.00,0.00,0.00
60,MNBBL,-,535.00,555.00,534.00,541.00,541.00,0.00,0.00,539.91,"2,583.00",535.00,"1,394,585.00",18,6.00,21.00,0.00,3.93,0.20,0.00,0.00
61,MPFL,-,148.00,146.00,145.00,145.00,145.00,0.00,0.00,145.10,210.00,148.00,"30,470.00",3,-3.00,1.00,0.00,0.69,-0.07,0.00,0.00
62,MTBL,-,327.00,336.00,327.00,336.00,336.00,0.00,0.00,332.91,698.00,327.00,"232,373.00",6,9.00,9.00,0.00,2.75,0.92,0.00,0.00
63,NABB,-,132.00,134.00,133.00,134.00,134.00,0.00,0.00,133.48,"1,240.00",132.00,"165,514.00",4,2.00,1.00,0.00,0.75,0.39,0.00,0.00
64,NABIL,-,"1,910.00","1,922.00","1,900.00","1,920.00","1,920.00",0.00,0.00,"1,911.34","1,628.00","1,910.00","3,111,656.00",13,10.00,22.00,0.00,1.16,0.45,0.00,0.00
65,NABILP,-,"1,310.00","1,305.00","1,305.00","1,305.00","1,305.00",0.00,0.00,"1,340.14","87,290.00","1,310.00","116,981,080.00",6,-5.00,0.00,0.00,0.00,-2.69,0.00,0.00
66,NBB,-,515.00,517.00,513.00,517.00,517.00,0.00,0.00,513.96,"14,006.00",515.00,"7,198,558.00",36,2.00,4.00,0.00,0.78,0.59,0.00,0.00
67,NBBL,-,"2,015.00","2,015.00","2,015.00","2,015.00","2,015.00",0.00,0.00,"2,015.00",51.00,"2,015.00","102,765.00",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,NBF1,-,13.00,13.00,13.00,13.00,13.00,0.00,0.00,13.20,"56,778.00",13.00,"749,530.00",5,0.00,0.00,0.00,0.00,-1.55,0.00,0.00
69,NBL,-,286.00,285.00,275.00,280.00,280.00,0.00,0.00,278.72,"11,380.00",286.00,"3,171,850.00",13,-6.00,10.00,0.00,3.64,0.46,0.00,0.00
70,NBSL,-,325.00,325.00,325.00,325.00,325.00,0.00,0.00,325.00,405.00,325.00,"131,625.00",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,NCCB,-,441.00,448.00,439.00,448.00,448.00,0.00,0.00,439.95,"1,681.00",441.00,"739,558.00",7,7.00,9.00,0.00,2.05,1.80,0.00,0.00
72,NCM,-,255.00,260.00,250.00,251.00,251.00,0.00,0.00,250.63,"1,813.00",255.00,"454,400.00",4,-4.00,10.00,0.00,4.00,0.15,0.00,0.00
73,NEFL,-,222.00,218.00,210.00,210.00,210.00,0.00,0.00,214.00,426.00,222.00,"91,164.00",15,-12.00,8.00,0.00,3.81,-1.90,0.00,0.00
74,NHPC,-,121.00,119.00,118.00,118.00,118.00,0.00,0.00,118.43,"14,000.00",121.00,"1,658,000.00",14,-3.00,1.00,0.00,0.85,-0.36,0.00,0.00
75,NIB,-,703.00,709.00,700.00,702.00,702.00,0.00,0.00,703.60,"2,909.00",703.00,"2,046,770.00",13,-1.00,9.00,0.00,1.29,-0.23,0.00,0.00
76,NIBPO,-,509.00,509.00,509.00,509.00,509.00,0.00,0.00,509.00,"2,500.00",509.00,"1,272,500.00",5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,NICA,-,611.00,616.00,610.00,610.00,610.00,0.00,0.00,612.39,"2,634.00",611.00,"1,613,036.00",15,-1.00,6.00,0.00,0.98,-0.39,0.00,0.00
78,NIL,-,480.00,498.00,489.00,489.00,489.00,0.00,0.00,491.25,40.00,480.00,"19,650.00",3,9.00,9.00,0.00,1.84,-0.46,0.00,0.00
79,NLBBL,-,"1,301.00","1,375.00","1,300.00","1,375.00","1,375.00",0.00,0.00,"1,316.21","2,356.00","1,301.00","3,100,999.00",18,74.00,75.00,0.00,5.77,4.28,0.00,0.00
80,NLIC,-,"2,896.00","2,891.00","2,880.00","2,889.00","2,889.00",0.00,0.00,"2,882.86","2,970.00","2,896.00","8,562,080.00",14,-7.00,11.00,0.00,0.38,0.21,0.00,0.00
81,NLICL,-,"1,820.00","1,854.00","1,815.00","1,820.00","1,820.00",0.00,0.00,"1,820.55","2,481.00","1,820.00","4,516,780.00",10,0.00,39.00,0.00,2.15,-0.03,0.00,0.00
82,NMBSF1,-,10.00,10.00,10.00,10.00,10.00,0.00,0.00,9.74,"3,800.00",10.00,"37,000.00",2,0.00,0.00,0.00,0.00,2.63,0.00,0.00
83,NNFC,-,270.00,270.00,265.00,265.00,265.00,0.00,0.00,266.79,703.00,270.00,"187,555.00",3,-5.00,5.00,0.00,1.89,-0.68,0.00,0.00
84,NTC,-,625.00,630.00,617.00,620.00,620.00,0.00,0.00,619.02,"5,785.00",625.00,"3,581,020.00",17,-5.00,13.00,0.00,2.11,0.16,0.00,0.00
85,NUBL,-,"1,280.00","1,326.00","1,285.00","1,318.00","1,318.00",0.00,0.00,"1,307.74","1,668.00","1,280.00","2,181,310.00",11,38.00,41.00,0.00,3.19,0.78,0.00,0.00
86,OFL,-,309.00,310.00,304.00,305.00,305.00,0.00,0.00,307.48,"2,517.00",309.00,"773,930.00",9,-4.00,6.00,0.00,1.97,-0.81,0.00,0.00
87,OHL,-,622.00,646.00,622.00,622.00,622.00,0.00,0.00,636.18,390.00,622.00,"248,110.00",6,0.00,24.00,0.00,3.86,-2.28,0.00,0.00
88,PCBL,-,438.00,441.00,437.00,440.00,440.00,0.00,0.00,439.53,"11,096.00",438.00,"4,877,039.00",43,2.00,4.00,0.00,0.92,0.11,0.00,0.00
89,PFL,-,300.00,306.00,300.00,300.00,300.00,0.00,0.00,302.42,144.00,300.00,"43,548.00",3,0.00,6.00,0.00,2.00,-0.81,0.00,0.00
90,PIC,-,450.00,450.00,450.00,450.00,450.00,0.00,0.00,450.00,24.00,450.00,"10,800.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
