S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,124.00,126.00,126.00,126.00,126.00,0.00,0.00,126.00,45.00,124.00,"5,670.00",1,2.00,0.00,0.00,0.00,0.00,0.00,0.00
2,ADBL,-,215.00,218.00,211.00,216.00,216.00,0.00,0.00,216.23,"8,116.00",215.00,"1,754,927.00",76,1.00,7.00,0.00,3.32,-0.11,0.00,0.00
3,AHPC,-,323.00,327.00,319.00,321.00,321.00,0.00,0.00,322.16,"4,591.00",323.00,"1,479,049.00",16,-2.00,8.00,0.00,2.51,-0.36,0.00,0.00
4,AIC,-,138.00,136.00,136.00,136.00,136.00,0.00,0.00,136.00,285.00,138.00,"38,760.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
5,ALICL,-,233.00,235.00,229.00,229.00,229.00,0.00,0.00,230.45,"1,090.00",233.00,"251,193.00",12,-4.00,6.00,0.00,2.62,-0.63,0.00,0.00
6,BOK,-,659.00,673.00,658.00,673.00,673.00,0.00,0.00,662.45,"12,744.00",659.00,"8,442,214.00",79,14.00,15.00,0.00,2.28,1.57,0.00,0.00
7,BPCL,-,800.00,802.00,787.00,787.00,787.00,0.00,0.00,789.77,"1,261.00",800.00,"995,902.00",3,-13.00,15.00,0.00,1.91,-0.35,0.00,0.00
8,BSBL,-,151.00,148.00,147.00,147.00,147.00,0.00,0.00,147.50,200.00,151.00,"29,500.00",4,-4.00,1.00,0.00,0.68,-0.34,0.00,0.00
9,CDBL,-,167.00,172.00,170.00,170.00,170.00,0.00,0.00,171.29,231.00,167.00,"39,567.00",4,3.00,2.00,0.00,1.18,-0.76,0.00,0.00
10,CEDBL,-,173.00,183.00,172.00,181.00,181.00,0.00,0.00,178.48,"2,314.00",173.00,"413,008.00",12,8.00,11.00,0.00,6.40,1.39,0.00,0.00
11,CHCL,-,"1,149.00","1,165.00","1,136.00","1,146.00","1,146.00",0.00,0.00,"1,141.98","7,462.00","1,149.00","8,521,482.00",29,-3.00,29.00,0.00,2.55,0.35,0.00,0.00
12,CIT,-,"1,040.00","1,144.00","1,060.00","1,144.00","1,144.00",0.00,0.00,"1,115.46",138.00,"1,040.00","153,934.00",5,104.00,84.00,0.00,7.92,2.49,0.00,0.00
13,CNDBL,-,66.00,66.00,64.00,64.00,64.00,0.00,0.00,65.13,"1,070.00",66.00,"69,690.00",10,-2.00,2.00,0.00,3.13,-1.77,0.00,0.00
14,CZBIL,-,266.00,281.00,271.00,275.00,275.00,0.00,0.00,276.96,"13,118.00",266.00,"3,633,151.00",56,9.00,10.00,0.00,3.69,-0.71,0.00,0.00
15,DDBL,-,300.00,306.00,306.00,306.00,306.00,0.00,0.00,306.00,31.00,300.00,"9,486.00",1,6.00,0.00,0.00,0.00,0.00,0.00,0.00
16,EBL,-,"1,290.00","1,304.00","1,290.00","1,302.00","1,302.00",0.00,0.00,"1,297.03","7,954.00","1,290.00","10,316,556.00",45,12.00,14.00,0.00,1.09,0.38,0.00,0.00
17,EBLCP,-,771.00,786.00,771.00,786.00,786.00,0.00,0.00,773.03,370.00,771.00,"286,020.00",2,15.00,15.00,0.00,1.95,1.65,0.00,0.00
18,EDBL,-,337.00,343.00,337.00,343.00,343.00,0.00,0.00,337.28,211.00,337.00,"71,167.00",2,6.00,6.00,0.00,1.78,1.67,0.00,0.00
19,GBBL,-,170.00,177.00,173.00,174.00,174.00,0.00,0.00,174.15,260.00,170.00,"45,280.00",4,4.00,4.00,0.00,2.31,-0.09,0.00,0.00
20,GBIME,-,436.00,440.00,431.00,438.00,438.00,0.00,0.00,435.89,"6,949.00",436.00,"3,028,986.00",56,2.00,9.00,0.00,2.09,0.48,0.00,0.00
21,GDBL,-,151.00,154.00,154.00,154.00,154.00,0.00,0.00,154.00,10.00,151.00,"1,540.00",1,3.00,0.00,0.00,0.00,0.00,0.00,0.00
22,GLICL,-,150.00,155.00,152.00,155.00,155.00,0.00,0.00,153.96,"1,100.00",150.00,"169,360.00",13,5.00,3.00,0.00,1.97,0.67,0.00,0.00
23,GRAND,-,204.00,210.00,203.00,207.00,207.00,0.00,0.00,205.48,"8,192.00",204.00,"1,683,252.00",33,3.00,7.00,0.00,3.45,0.74,0.00,0.00
24,HBL,-,792.00,807.00,795.00,798.00,798.00,0.00,0.00,799.37,904.00,792.00,"722,633.00",7,6.00,12.00,0.00,1.51,-0.17,0.00,0.00
25,HFL,-,39.00,43.00,40.00,43.00,43.00,0.00,0.00,42.23,780.00,39.00,"32,942.00",25,4.00,3.00,0.00,7.50,1.78,0.00,0.00
26,ILFC,-,117.00,125.00,116.00,117.00,117.00,0.00,0.00,120.24,"5,965.00",117.00,"717,225.00",20,0.00,9.00,0.00,7.76,-2.77,0.00,0.00
27,JBBL,-,88.00,88.00,87.00,87.00,87.00,0.00,0.00,87.24,860.00,88.00,"75,030.00",12,-1.00,1.00,0.00,1.15,-0.28,0.00,0.00
28,JBNL,-,164.00,170.00,165.00,167.00,167.00,0.00,0.00,166.39,"34,449.00",164.00,"5,731,836.00",94,3.00,5.00,0.00,3.03,0.37,0.00,0.00
29,JFL,-,275.00,280.00,280.00,280.00,280.00,0.00,0.00,280.00,200.00,275.00,"56,000.00",1,5.00,0.00,0.00,0.00,0.00,0.00,0.00
30,KADBL,-,165.00,162.00,162.00,162.00,162.00,0.00,0.00,162.00,"5,251.00",165.00,"850,662.00",16,-3.00,0.00,0.00,0.00,0.00,0.00,0.00
31,KAFIL,-,109.00,110.00,110.00,110.00,110.00,0.00,0.00,110.00,118.00,109.00,"12,980.00",1,1.00,0.00,0.00,0.00,0.00,0.00,0.00
32,KBL,-,265.00,275.00,260.00,266.00,266.00,0.00,0.00,267.28,"4,054.00",265.00,"1,083,564.00",19,1.00,15.00,0.00,5.77,-0.48,0.00,0.00
33,KDBL,-,84.00,92.00,85.00,92.00,92.00,0.00,0.00,88.17,883.00,84.00,"77,857.00",19,8.00,7.00,0.00,8.24,4.16,0.00,0.00
34,KIST,-,142.00,144.00,141.00,142.00,142.00,0.00,0.00,142.10,"20,140.00",142.00,"2,861,880.00",27,0.00,3.00,0.00,2.13,-0.07,0.00,0.00
35,KMBL,-,122.00,120.00,118.00,118.00,118.00,0.00,0.00,118.18,110.00,122.00,"13,000.00",2,-4.00,2.00,0.00,1.69,-0.15,0.00,0.00
36,LBL,-,364.00,373.00,361.00,367.00,367.00,0.00,0.00,366.60,"2,325.00",364.00,"852,343.00",13,3.00,12.00,0.00,3.32,0.11,0.00,0.00
37,LUBL,-,255.00,266.00,260.00,262.00,262.00,0.00,0.00,262.91,"4,196.00",255.00,"1,103,176.00",16,7.00,6.00,0.00,2.31,-0.35,0.00,0.00
38,MBL,-,198.00,200.00,196.00,200.00,200.00,0.00,0.00,198.37,"14,291.00",198.00,"2,834,891.00",51,2.00,4.00,0.00,2.04,0.82,0.00,0.00
39,MDB,-,130.00,128.00,128.00,128.00,128.00,0.00,0.00,128.00,60.00,130.00,"7,680.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
40,MDBL,-,138.00,136.00,136.00,136.00,136.00,0.00,0.00,136.00,84.00,138.00,"11,424.00",2,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
41,MKDBL,-,70.00,75.00,70.00,75.00,75.00,0.00,0.00,72.83,"4,280.00",70.00,"311,720.00",11,5.00,5.00,0.00,7.14,2.89,0.00,0.00
42,MNBBL,-,259.00,264.00,260.00,264.00,264.00,0.00,0.00,262.21,670.00,259.00,"175,680.00",5,5.00,4.00,0.00,1.54,0.68,0.00,0.00
43,NABIL,-,"1,522.00","1,555.00","1,523.00","1,547.00","1,547.00",0.00,0.00,"1,547.18","4,192.00","1,522.00","6,485,780.00",23,25.00,32.00,0.00,2.10,-0.01,0.00,0.00
44,NABILP,-,989.00,970.00,970.00,970.00,970.00,0.00,0.00,970.00,"3,300.00",989.00,"3,201,000.00",1,-19.00,0.00,0.00,0.00,0.00,0.00,0.00
45,NBB,-,250.00,262.00,248.00,260.00,260.00,0.00,0.00,255.35,"26,633.00",250.00,"6,800,846.00",55,10.00,14.00,0.00,5.65,1.79,0.00,0.00
46,NBL,-,414.00,450.00,434.00,450.00,450.00,0.00,0.00,440.00,40.00,414.00,"17,600.00",4,36.00,16.00,0.00,3.69,2.22,0.00,0.00
47,NCCB,-,199.00,200.00,196.00,200.00,200.00,0.00,0.00,197.75,200.00,199.00,"39,550.00",3,1.00,4.00,0.00,2.04,1.13,0.00,0.00
48,NCDBL,-,175.00,172.00,172.00,172.00,172.00,0.00,0.00,172.00,100.00,175.00,"17,200.00",1,-3.00,0.00,0.00,0.00,0.00,0.00,0.00
49,NCM,-,153.00,156.00,153.00,153.00,153.00,0.00,0.00,154.47,383.00,153.00,"59,161.00",3,0.00,3.00,0.00,1.96,-0.96,0.00,0.00
50,NIB,-,933.00,953.00,921.00,940.00,940.00,0.00,0.00,940.73,"27,097.00",933.00,"25,490,862.00",159,7.00,32.00,0.00,3.47,-0.08,0.00,0.00
51,NLBBL,-,390.00,383.00,370.00,376.00,376.00,0.00,0.00,376.34,252.00,390.00,"94,838.00",8,-14.00,13.00,0.00,3.51,-0.09,0.00,0.00
52,NLIC,-,"1,518.00","1,550.00","1,459.00","1,500.00","1,500.00",0.00,0.00,"1,510.43","3,145.00","1,518.00","4,750,310.00",15,-18.00,91.00,0.00,6.24,-0.70,0.00,0.00
53,NLICL,-,480.00,480.00,480.00,480.00,480.00,0.00,0.00,480.00,287.00,480.00,"137,760.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,NMB,-,256.00,266.00,254.00,257.00,257.00,0.00,0.00,257.59,"3,192.00",256.00,"822,237.00",22,1.00,12.00,0.00,4.72,-0.23,0.00,0.00
55,NTC,-,665.00,665.00,657.00,658.00,658.00,0.00,0.00,660.37,"1,890.00",665.00,"1,248,090.00",12,-7.00,8.00,0.00,1.22,-0.36,0.00,0.00
56,NUBL,-,200.00,201.00,201.00,201.00,201.00,0.00,0.00,201.00,"1,851.00",200.00,"372,051.00",1,1.00,0.00,0.00,0.00,0.00,0.00,0.00
57,OHL,-,113.00,113.00,111.00,111.00,111.00,0.00,0.00,111.28,540.00,113.00,"60,090.00",5,-2.00,2.00,0.00,1.80,-0.25,0.00,0.00
58,PCBL,-,311.00,324.00,310.00,316.00,316.00,0.00,0.00,315.73,"17,008.00",311.00,"5,369,967.00",44,5.00,14.00,0.00,4.52,0.08,0.00,0.00
59,PIC,-,164.00,164.00,164.00,164.00,164.00,0.00,0.00,164.00,"2,062.00",164.00,"338,168.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,PLIC,-,304.00,305.00,300.00,301.00,301.00,0.00,0.00,300.89,520.00,304.00,"156,464.00",7,-3.00,5.00,0.00,1.67,0.04,0.00,0.00
61,PRFL,-,142.00,144.00,142.00,142.00,142.00,0.00,0.00,142.78,458.00,142.00,"65,392.00",4,0.00,2.00,0.00,1.41,-0.55,0.00,0.00
62,PURBL,-,82.00,83.00,81.00,82.00,82.00,0.00,0.00,82.19,720.00,82.00,"59,180.00",56,0.00,2.00,0.00,2.47,-0.24,0.00,0.00
63,RIBSL,-,145.00,143.00,143.00,143.00,143.00,0.00,0.00,143.00,54.00,145.00,"7,722.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
64,SADBL,-,116.00,116.00,116.00,116.00,116.00,0.00,0.00,116.00,50.00,116.00,"5,800.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,SANIMA,-,266.00,276.00,265.00,275.00,275.00,0.00,0.00,270.71,"14,195.00",266.00,"3,842,720.00",32,9.00,11.00,0.00,4.15,1.56,0.00,0.00
66,SBI,-,751.00,794.00,766.00,776.00,776.00,0.00,0.00,782.60,"5,833.00",751.00,"4,564,901.00",34,25.00,28.00,0.00,3.66,-0.85,0.00,0.00
67,SBL,-,327.00,334.00,320.00,326.00,326.00,0.00,0.00,325.20,"1,662.00",327.00,"540,479.00",17,-1.00,14.00,0.00,4.38,0.25,0.00,0.00
68,SCB,-,"2,024.00","2,049.00","1,985.00","2,030.00","2,030.00",0.00,0.00,"2,018.92","1,741.00","2,024.00","3,514,935.00",16,6.00,64.00,0.00,3.22,0.55,0.00,0.00
69,SETI,-,97.00,96.00,96.00,96.00,96.00,0.00,0.00,96.00,360.00,97.00,"34,560.00",11,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
70,SEWA,-,149.00,147.00,147.00,147.00,147.00,0.00,0.00,147.00,23.00,149.00,"3,381.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
71,SIC,-,730.00,716.00,716.00,716.00,716.00,0.00,0.00,716.00,25.00,730.00,"17,900.00",1,-14.00,0.00,0.00,0.00,0.00,0.00,0.00
72,SIFC,-,225.00,225.00,225.00,225.00,225.00,0.00,0.00,225.00,183.00,225.00,"41,175.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,SLFL,-,71.00,71.00,70.00,71.00,71.00,0.00,0.00,70.92,240.00,71.00,"17,020.00",12,0.00,1.00,0.00,1.43,0.12,0.00,0.00
74,SMFDB,-,210.00,222.00,214.00,219.00,219.00,0.00,0.00,218.98,829.00,210.00,"181,531.00",5,9.00,8.00,0.00,3.74,0.01,0.00,0.00
75,SRBL,-,187.00,195.00,185.00,195.00,195.00,0.00,0.00,190.23,"17,738.00",187.00,"3,374,363.00",90,8.00,10.00,0.00,5.41,2.44,0.00,0.00
76,SUBBL,-,144.00,150.00,150.00,150.00,150.00,0.00,0.00,150.00,10.00,144.00,"1,500.00",1,6.00,0.00,0.00,0.00,0.00,0.00,0.00
77,SUPRME,-,79.00,81.00,80.00,80.00,80.00,0.00,0.00,80.48,210.00,79.00,"16,900.00",3,1.00,1.00,0.00,1.25,-0.60,0.00,0.00
78,SWBBL,-,310.00,311.00,310.00,311.00,311.00,0.00,0.00,310.41,413.00,310.00,"128,198.00",2,1.00,1.00,0.00,0.32,0.19,0.00,0.00
79,TBBLP,-,162.00,159.00,159.00,159.00,159.00,0.00,0.00,159.00,"6,856.00",162.00,"1,090,104.00",1,-3.00,0.00,0.00,0.00,0.00,0.00,0.00
80,TDBL,-,108.00,106.00,98.00,100.00,100.00,0.00,0.00,101.56,"13,398.00",108.00,"1,360,698.00",43,-8.00,8.00,0.00,8.16,-1.56,0.00,0.00
81,TRH,-,85.00,84.00,84.00,84.00,84.00,0.00,0.00,84.00,10.00,85.00,840.00,1,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
82,UNL,-,"8,923.00","9,815.00","9,101.00","9,815.00","9,815.00",0.00,0.00,"9,652.31",160.00,"8,923.00","1,544,370.00",10,892.00,714.00,0.00,7.85,1.66,0.00,0.00
83,WDBL,-,88.00,87.00,86.00,87.00,87.00,0.00,0.00,86.63,270.00,88.00,"23,390.00",6,-1.00,1.00,0.00,1.16,0.43,0.00,0.00
