S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,61.63,"1,350.00","1,359.00","1,325.00","1,356.00","1,356.00",0.00,0.00,"1,341.62","13,447.00","1,332.00","18,040,744.00",438,24.00,34.00,1.80,2.57,1.06,"1,434.00",450.00
2,ADBL,62.87,466.00,466.00,441.00,444.00,444.00,0.00,0.00,443.07,"48,043.00",444.00,"21,286,498.00",277,0.00,25.00,0.00,5.67,0.21,576.00,313.00
3,AHPC,67.27,237.00,243.00,233.00,243.00,243.00,0.00,0.00,238.37,"195,229.00",235.00,"46,536,037.00",435,8.00,10.00,3.40,4.29,1.91,282.00,88.00
4,AIL,64.30,685.00,695.00,673.00,688.00,688.00,0.00,0.00,687.21,"37,046.00",683.00,"25,458,459.00",533,5.00,22.00,0.73,3.27,0.11,748.00,291.00
5,AKJCL,70.07,132.00,136.00,130.00,135.00,135.00,0.00,0.00,133.92,"11,815.00",132.00,"1,582,262.00",205,3.00,6.00,2.27,4.62,0.80,176.00,46.40
6,AKPL,70.88,275.00,300.00,269.00,300.00,300.00,0.00,0.00,287.60,"475,655.00",273.00,"136,800,296.00",925,27.00,31.00,9.89,11.52,4.13,300.00,100.00
7,ALBSL,61.05,"1,320.00","1,435.00","1,320.00","1,435.00","1,435.00",0.00,0.00,"1,403.43","10,500.00","1,305.00","14,735,995.00",246,130.00,115.00,9.96,8.71,2.20,"1,435.00",536.00
8,ALICL,64.12,"1,106.00","1,141.00","1,105.00","1,141.00","1,141.00",0.00,0.00,"1,125.22","94,308.00","1,103.00","106,117,320.00",350,38.00,36.00,3.45,3.26,1.38,"1,170.00",431.00
9,API,68.47,270.00,287.00,261.00,287.00,287.00,0.00,0.00,272.69,"340,011.00",265.00,"92,716,519.00",934,22.00,26.00,8.30,9.96,4.99,291.00,100.00
10,BARUN,62.78,241.00,241.00,225.00,232.00,232.00,0.00,0.00,231.94,"38,834.00",240.00,"9,007,061.00",213,-8.00,16.00,-3.33,7.11,0.03,261.00,79.00
11,BBC,68.54,"3,190.00","3,198.00","3,083.00","3,091.00","3,091.00",0.00,0.00,"3,138.94",806.00,"3,136.00","2,529,985.00",45,-45.00,115.00,-1.43,3.73,-1.55,"4,345.00","1,470.00"
12,BFC,71.79,185.00,193.00,177.00,185.00,185.00,0.00,0.00,188.34,"128,562.00",177.00,"24,212,925.00",546,8.00,16.00,4.52,9.04,-1.80,193.00,85.00
13,BNT,60.71,"9,181.00","9,181.00","9,000.00","9,000.00","9,000.00",0.00,0.00,"9,078.66",476.00,"9,001.00","4,321,440.00",26,-1.00,181.00,-0.01,2.01,-0.87,"11,440.00","5,847.00"
14,BOKL,62.49,344.00,344.00,320.00,321.00,321.00,0.00,0.00,322.88,"148,130.00",328.00,"47,827,666.00",555,-7.00,24.00,-2.13,7.50,-0.58,344.00,196.00
15,BPCL,63.39,408.00,408.00,399.00,402.00,402.00,0.00,0.00,400.83,"34,537.00",402.00,"13,843,577.00",258,0.00,9.00,0.00,2.26,0.29,479.00,302.00
16,CBBL,71.36,"1,355.00","1,395.00","1,355.00","1,380.00","1,380.00",0.00,0.00,"1,375.28","31,770.00","1,353.00","43,692,750.00",257,27.00,40.00,2.00,2.95,0.34,"1,597.00",835.00
17,CBL,62.34,222.00,226.00,221.00,223.00,223.00,0.00,0.00,223.22,"451,493.00",222.00,"100,783,547.00",830,1.00,5.00,0.45,2.26,-0.10,230.00,125.00
18,CBLPO,70.11,102.00,102.00,102.00,102.00,102.00,0.00,0.00,102.00,"275,255.00",102.00,"28,076,010.00",1,0.00,0.00,0.00,0.00,0.00,102.00,100.00
19,CCBL,56.99,229.00,229.00,216.00,217.00,217.00,0.00,0.00,217.67,"151,057.00",219.00,"32,880,461.00",408,-2.00,13.00,-0.91,6.02,-0.31,242.00,136.00
20,CFCL,67.87,221.00,239.00,215.00,235.00,235.00,0.00,0.00,225.47,"100,152.00",218.00,"22,581,160.00",237,17.00,24.00,7.80,11.16,4.06,239.00,112.00
21,CHCL,56.25,595.00,595.00,580.00,593.00,593.00,0.00,0.00,587.52,"52,994.00",588.00,"31,135,009.00",250,5.00,15.00,0.85,2.59,0.92,720.00,330.00
22,CHL,70.78,171.00,179.00,170.00,179.00,179.00,0.00,0.00,173.88,"11,258.00",171.00,"1,957,486.00",113,8.00,9.00,4.68,5.29,2.86,204.00,77.00
23,CIT,64.06,"3,460.00","3,495.00","3,439.00","3,446.00","3,446.00",0.00,0.00,"3,450.89","13,740.00","3,459.00","47,415,243.00",402,-13.00,56.00,-0.38,1.63,-0.14,"5,749.00","1,750.00"
24,CLBSL,69.44,"1,000.00","1,045.00","1,000.00","1,043.00","1,043.00",0.00,0.00,"1,027.37","21,898.00","1,000.00","22,497,379.00",250,43.00,45.00,4.30,4.50,1.50,"1,549.00",557.00
25,CMF1,55.94,10.00,10.40,9.91,10.16,10.16,0.00,0.00,10.20,"59,450.00",10.20,"606,350.00",32,-0.04,0.49,-0.39,4.94,-0.39,11.77,8.81
