S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,38.03,"1,104.00","1,117.90","1,083.00","1,097.34","1,095.00",2.34,0.00,"1,102.61","1,613.00","1,083.49","1,778,506.40",43,13.85,34.90,1.28,3.22,-0.48,"1,491.00",701.00
2,ADBL,43.31,288.00,313.00,285.20,295.23,297.00,-1.77,-0.01,291.73,"41,118.00",288.99,"11,995,502.90",264,6.24,27.80,2.16,9.75,1.18,428.40,223.00
3,AHL,37.27,750.00,750.00,730.70,744.59,749.00,-4.41,-0.01,741.77,"2,654.00",745.38,"1,968,660.00",50,-0.79,19.30,-0.11,2.64,0.38,904.00,426.10
4,AHPC,34.49,250.30,255.00,250.20,253.76,254.00,-0.24,0.00,253.01,"53,959.00",252.49,"13,652,103.90",212,1.27,4.80,0.50,1.92,0.30,349.00,149.00
5,AKJCL,35.55,206.00,207.00,202.40,204.72,204.10,0.62,0.00,204.60,"69,728.00",205.12,"14,266,509.80",269,-0.40,4.60,-0.20,2.27,0.06,274.90,150.90
6,AKPL,37.45,227.30,231.40,227.00,228.61,229.00,-0.39,0.00,229.01,"56,707.00",229.17,"12,986,567.30",234,-0.56,4.40,-0.24,1.94,-0.18,326.00,157.20
7,ALBSL,38.21,821.00,871.10,821.00,825.40,835.00,-9.60,-0.01,828.16,"7,208.00",833.43,"5,969,368.40",96,-8.03,50.10,-0.96,6.10,-0.33,"1,177.00",694.20
8,ALICL,43.08,770.00,771.00,758.00,762.47,764.00,-1.53,0.00,763.36,"48,396.00",758.99,"36,943,373.10",208,3.48,13.00,0.46,1.72,-0.12,831.00,523.00
9,ANLB,26.03,"4,995.00","5,094.00","4,995.00","5,088.75","5,092.00",-3.25,0.00,"5,042.07",147.00,"5,094.05","741,185.00",12,-5.30,99.00,-0.10,1.98,0.92,"6,735.00","1,894.00"
10,API,39.49,273.00,283.50,270.00,278.86,276.10,2.76,0.01,275.03,"107,555.00",272.32,"29,581,190.20",449,6.54,13.50,2.40,5.00,1.37,390.00,162.00
11,AVYAN,40.74,"1,040.00","1,085.00","1,040.00","1,066.98","1,075.00",-8.02,-0.01,"1,070.29","4,955.00","1,058.82","5,303,303.40",82,8.16,45.00,0.77,4.33,-0.31,"1,306.80",631.00
12,BARUN,29.21,505.20,520.00,505.20,511.28,511.00,0.28,0.00,514.73,"74,411.00",507.78,"38,301,675.20",369,3.50,14.80,0.69,2.93,-0.68,550.00,211.00
13,BBC,47.38,"5,939.00","6,405.20","5,732.00","6,403.05","6,405.20",-2.15,0.00,"6,229.77","9,596.00","5,822.95","59,780,852.70",347,580.10,673.20,9.96,11.74,2.71,"7,247.00","3,631.00"
14,BEDC,40.54,775.40,819.00,775.40,806.75,806.30,0.45,0.00,805.96,"25,749.00",791.19,"20,752,780.30",246,15.56,43.60,1.97,5.62,0.10,"1,080.00",337.20
15,BFC,42.46,560.10,593.00,556.00,574.55,576.00,-1.45,0.00,572.34,"31,223.00",558.76,"17,870,168.80",210,15.79,37.00,2.83,6.65,0.38,951.60,330.00
16,BGWT,43.45,"1,000.00","1,040.00","1,000.00","1,039.71","1,038.00",1.71,0.00,"1,032.41","12,000.00","1,020.16","12,388,890.00",72,19.55,40.00,1.92,4.00,0.70,"1,361.70",579.10
17,BHDC,35.60,605.00,605.00,586.00,594.38,598.90,-4.52,-0.01,591.02,"2,526.00",593.98,"1,492,918.70",62,0.40,19.00,0.07,3.24,0.57,829.70,455.70
18,BHL,38.10,333.50,335.00,312.70,319.00,320.00,-1.00,0.00,322.53,"56,038.00",335.27,"18,073,823.90",322,-16.27,22.30,-4.85,7.13,-1.11,520.00,312.70
19,BHPL,41.45,"1,015.00","1,048.00","1,015.00","1,040.26","1,035.00",5.26,0.01,"1,032.85","7,345.00","1,030.87","7,586,249.00",47,9.39,33.00,0.91,3.25,0.71,"1,275.00",449.00
20,BNHC,37.57,504.30,517.10,504.30,510.33,508.00,2.33,0.00,511.00,"9,127.00",512.21,"4,663,871.90",121,-1.88,12.80,-0.37,2.54,-0.13,742.00,422.00
21,BNL,23.85,"19,142.50","19,142.50","17,579.80","17,579.80","17,579.80",0.00,0.00,"18,160.01",70.00,"19,533.10","1,271,201.00",7,"-1,953.30","1,562.70",-10.00,8.89,-3.30,"22,500.00","14,900.00"
22,BNT,34.62,"13,216.00","13,340.00","13,101.00","13,104.00","13,104.00",0.00,0.00,"13,209.67",125.00,"13,215.50","1,651,209.00",12,-111.50,239.00,-0.84,1.82,-0.81,"18,100.00","12,208.10"
23,BOKD86,36.82,"1,027.10","1,027.10","1,027.10","1,027.10","1,027.10",0.00,0.00,"1,027.10",25.00,"1,022.00","25,677.50",1,5.10,0.00,0.50,0.00,0.00,"1,080.00",938.00
24,BPCL,36.73,405.90,405.90,395.00,396.91,397.90,-0.99,0.00,397.07,"7,197.00",398.66,"2,857,740.00",78,-1.75,10.90,-0.44,2.76,-0.04,536.50,284.40
25,C30MF,37.28,9.00,9.35,9.00,9.35,9.35,0.00,0.00,9.22,"2,650.00",8.96,"24,422.00",7,0.39,0.35,4.35,3.89,1.43,10.92,8.13
26,CBBL,44.77,853.90,855.00,846.00,850.87,851.70,-0.83,0.00,850.96,"24,243.00",854.11,"20,629,774.80",148,-3.24,9.00,-0.38,1.06,-0.01,"1,155.00",800.00
