S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,27.87,911.00,911.00,900.00,905.00,905.00,0.00,0.00,904.44,437.00,911.00,"395,238.70",14,-6.00,11.00,-0.66,1.22,0.06,"1,284.90",900.00
2,ADBL,33.19,288.00,290.00,285.20,286.90,286.90,0.00,0.00,286.19,"23,575.00",288.80,"6,746,825.50",114,-1.90,4.80,-0.66,1.68,0.25,344.90,272.30
3,AHL,22.38,544.20,550.00,544.20,550.00,550.00,0.00,0.00,547.88,"2,216.00",550.20,"1,214,098.00",56,-0.20,5.80,-0.04,1.07,0.39,891.00,544.20
4,AHPC,26.80,278.00,278.00,271.00,273.40,273.40,0.00,0.00,272.36,"80,001.00",272.60,"21,789,152.30",260,0.80,7.00,0.29,2.58,0.38,334.00,239.30
5,AKJCL,36.73,184.00,185.10,182.10,183.00,183.00,0.00,0.00,183.93,"37,248.00",184.00,"6,850,992.40",138,-1.00,3.00,-0.54,1.65,-0.51,233.50,172.90
6,AKPL,44.30,241.10,245.70,240.80,245.60,245.60,0.00,0.00,242.78,"98,123.00",242.90,"23,822,595.10",213,2.70,4.90,1.11,2.03,1.15,306.50,216.10
7,ALBSL,35.85,"1,092.70","1,134.00","1,092.70","1,134.00","1,134.00",0.00,0.00,"1,123.75","18,531.00","1,115.00","20,824,231.20",247,19.00,41.30,1.70,3.78,0.90,"1,237.90",771.00
8,ALICL,18.65,456.00,462.00,454.10,456.00,456.00,0.00,0.00,457.39,"23,604.00",456.90,"10,796,296.80",150,-0.90,7.90,-0.20,1.74,-0.31,831.00,430.00
9,ANLB,32.67,"6,010.00","6,128.90","6,010.00","6,128.90","6,128.90",0.00,0.00,"6,074.76",168.00,"6,098.00","1,020,559.50",17,30.90,118.90,0.51,1.98,0.88,"6,800.00","4,673.00"
10,API,32.52,286.00,289.00,285.00,288.00,288.00,0.00,0.00,287.03,"177,114.00",286.00,"50,837,829.60",492,2.00,4.00,0.70,1.40,0.34,335.00,250.00
11,AVYAN,26.48,916.40,932.00,916.40,928.10,928.10,0.00,0.00,925.68,489.00,929.00,"452,656.00",26,-0.90,15.60,-0.10,1.70,0.26,"1,306.80",906.00
12,BANDIPUR,27.90,720.00,744.60,720.00,733.00,733.00,0.00,0.00,731.69,"68,164.00",728.60,"49,874,990.70","2,963",4.40,24.60,0.60,3.42,0.18,837.00,285.00
13,BARUN,28.51,311.00,316.00,310.20,314.00,314.00,0.00,0.00,313.55,"51,238.00",312.00,"16,065,538.50",241,2.00,5.80,0.64,1.87,0.14,589.00,292.10
14,BBC,31.65,"4,859.00","4,859.00","4,820.00","4,850.00","4,850.00",0.00,0.00,"4,835.01",123.00,"4,850.00","594,706.00",9,0.00,39.00,0.00,0.81,0.31,"6,661.60","4,480.00"
15,BEDC,30.76,533.40,543.00,519.80,524.00,524.00,0.00,0.00,522.64,"10,254.00",523.00,"5,359,159.50",121,1.00,23.20,0.19,4.46,0.26,"1,080.00",501.00
16,BFC,28.64,462.90,462.90,450.00,454.80,454.80,0.00,0.00,452.51,"11,581.00",454.00,"5,240,552.20",83,0.80,12.90,0.18,2.87,0.50,745.80,411.50
17,BGWT,22.33,762.00,770.00,755.00,770.00,770.00,0.00,0.00,763.00,576.00,777.00,"439,489.10",20,-7.00,15.00,-0.90,1.99,0.91,"1,241.00",750.00
18,BHCL,23.88,480.10,494.00,477.10,487.00,487.00,0.00,0.00,483.35,"48,033.00",489.00,"23,216,841.90",840,-2.00,16.90,-0.41,3.54,0.75,625.70,292.10
19,BHDC,33.12,483.00,483.00,467.00,474.00,474.00,0.00,0.00,472.98,"38,554.00",476.10,"18,235,345.00",233,-2.10,16.00,-0.44,3.43,0.21,760.20,426.00
20,BHL,28.01,174.10,175.70,173.20,174.00,174.00,0.00,0.00,174.23,"47,689.00",174.90,"8,309,044.30",278,-0.90,2.50,-0.51,1.44,-0.13,410.00,164.00
21,BHPL,26.64,540.00,540.00,516.50,518.00,518.00,0.00,0.00,521.49,"99,110.00",530.00,"51,684,379.60",386,-12.00,23.50,-2.26,4.55,-0.67,"1,308.40",507.00
22,BNHC,25.54,430.50,436.90,430.50,435.80,435.80,0.00,0.00,433.52,"5,685.00",436.00,"2,464,573.90",61,-0.20,6.40,-0.05,1.49,0.52,608.00,393.00
23,BNT,33.07,"11,756.00","12,000.00","11,756.00","11,900.00","11,900.00",0.00,0.00,"11,932.30",99.00,"11,900.00","1,181,298.00",13,0.00,244.00,0.00,2.08,-0.27,"14,680.00","10,660.00"
24,BPCL,33.31,706.00,713.00,705.00,706.10,706.10,0.00,0.00,707.96,"44,561.00",710.00,"31,547,617.00",224,-3.90,8.00,-0.55,1.13,-0.26,"1,065.00",375.10
