S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACEDBL,-,123.00,122.00,122.00,122.00,122.00,0.00,0.00,122.00,69.00,123.00,"8,418.00",1,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
2,ADBL,-,243.00,243.00,240.00,242.00,242.00,0.00,0.00,240.84,"5,603.00",243.00,"1,349,446.00",48,-1.00,3.00,0.00,1.25,0.48,0.00,0.00
3,AHPC,-,310.00,310.00,305.00,310.00,310.00,0.00,0.00,307.62,"2,100.00",310.00,"646,000.00",3,0.00,5.00,0.00,1.64,0.77,0.00,0.00
4,AIC,-,141.00,143.00,141.00,141.00,141.00,0.00,0.00,141.67,150.00,141.00,"21,250.00",2,0.00,2.00,0.00,1.42,-0.47,0.00,0.00
5,ALDBL,-,91.00,100.00,91.00,97.00,97.00,0.00,0.00,95.54,870.00,91.00,"83,120.00",32,6.00,9.00,0.00,9.89,1.50,0.00,0.00
6,ALICL,-,224.00,204.00,200.00,204.00,204.00,0.00,0.00,201.42,757.00,224.00,"152,477.00",5,-20.00,4.00,0.00,2.00,1.26,0.00,0.00
7,BOK,-,670.00,663.00,655.00,660.00,660.00,0.00,0.00,660.10,"4,293.00",670.00,"2,833,830.00",34,-10.00,8.00,0.00,1.22,-0.02,0.00,0.00
8,BSBL,-,130.00,128.00,128.00,128.00,128.00,0.00,0.00,128.00,530.00,130.00,"67,840.00",7,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
9,BUDBL,-,100.00,99.00,99.00,99.00,99.00,0.00,0.00,99.00,"9,687.00",100.00,"959,013.00",3,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
10,CBBL,-,390.00,383.00,376.00,383.00,383.00,0.00,0.00,381.29,41.00,390.00,"15,633.00",3,-7.00,7.00,0.00,1.86,0.45,0.00,0.00
11,CDBL,-,160.00,160.00,160.00,160.00,160.00,0.00,0.00,160.00,451.00,160.00,"72,160.00",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,CEDBL,-,163.00,161.00,157.00,157.00,157.00,0.00,0.00,159.63,606.00,163.00,"96,736.00",11,-6.00,4.00,0.00,2.55,-1.68,0.00,0.00
13,CHCL,-,"1,085.00","1,089.00","1,069.00","1,074.00","1,074.00",0.00,0.00,"1,072.82","2,878.00","1,085.00","3,087,588.00",19,-11.00,20.00,0.00,1.87,0.11,0.00,0.00
14,CIT,-,"1,340.00","1,328.00","1,303.00","1,306.00","1,306.00",0.00,0.00,"1,317.22",324.00,"1,340.00","426,780.00",7,-34.00,25.00,0.00,1.92,-0.86,0.00,0.00
15,CNDBL,-,66.00,66.00,63.00,63.00,63.00,0.00,0.00,64.47,960.00,66.00,"61,890.00",32,-3.00,3.00,0.00,4.76,-2.33,0.00,0.00
16,CZBIL,-,261.00,261.00,251.00,259.00,259.00,0.00,0.00,256.29,"3,149.00",261.00,"807,061.00",22,-2.00,10.00,0.00,3.98,1.05,0.00,0.00
17,CZBILP,-,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,"105,250.00",100.00,"10,525,000.00",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,EBL,-,"1,365.00","1,367.00","1,350.00","1,362.00","1,362.00",0.00,0.00,"1,352.61","10,804.00","1,365.00","14,613,588.00",35,-3.00,17.00,0.00,1.26,0.69,0.00,0.00
19,EBLCP,-,781.00,780.00,780.00,780.00,780.00,0.00,0.00,780.00,176.00,781.00,"137,280.00",2,-1.00,0.00,0.00,0.00,0.00,0.00,0.00
20,EDBL,-,355.00,273.00,273.00,273.00,273.00,0.00,0.00,273.00,185.00,355.00,"50,505.00",1,-82.00,0.00,0.00,0.00,0.00,0.00,0.00
21,GBBL,-,168.00,165.00,165.00,165.00,165.00,0.00,0.00,165.00,100.00,168.00,"16,500.00",3,-3.00,0.00,0.00,0.00,0.00,0.00,0.00
22,GBIME,-,410.00,407.00,400.00,405.00,405.00,0.00,0.00,402.14,"10,470.00",410.00,"4,210,378.00",33,-5.00,7.00,0.00,1.75,0.71,0.00,0.00
23,GLICL,-,140.00,138.00,138.00,138.00,138.00,0.00,0.00,138.00,20.00,140.00,"2,760.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
24,GRAND,-,198.00,200.00,194.00,195.00,195.00,0.00,0.00,195.56,"5,242.00",198.00,"1,025,129.00",11,-3.00,6.00,0.00,3.09,-0.29,0.00,0.00
25,GSDBL,-,82.00,82.00,79.00,81.00,81.00,0.00,0.00,81.00,366.00,82.00,"29,646.00",17,-1.00,3.00,0.00,3.80,0.00,0.00,0.00
26,GULMI,-,138.00,140.00,138.00,140.00,140.00,0.00,0.00,139.66,764.00,138.00,"106,702.00",2,2.00,2.00,0.00,1.45,0.24,0.00,0.00
27,HBL,-,765.00,762.00,750.00,757.00,757.00,0.00,0.00,756.44,"1,345.00",765.00,"1,017,417.00",14,-8.00,12.00,0.00,1.60,0.07,0.00,0.00
28,HGI,-,181.00,184.00,184.00,184.00,184.00,0.00,0.00,184.00,350.00,181.00,"64,400.00",2,3.00,0.00,0.00,0.00,0.00,0.00,0.00
29,ICFC,-,123.00,122.00,119.00,120.00,120.00,0.00,0.00,121.01,"4,501.00",123.00,"544,663.00",12,-3.00,3.00,0.00,2.52,-0.84,0.00,0.00
30,IDBL,-,76.00,76.00,74.00,75.00,75.00,0.00,0.00,74.84,"1,315.00",76.00,"98,416.00",22,-1.00,2.00,0.00,2.70,0.21,0.00,0.00
31,ILFC,-,118.00,122.00,120.00,122.00,122.00,0.00,0.00,121.57,788.00,118.00,"95,800.00",2,4.00,2.00,0.00,1.67,0.35,0.00,0.00
32,JBBL,-,74.00,76.00,72.00,73.00,73.00,0.00,0.00,73.70,"1,910.00",74.00,"140,770.00",18,-1.00,4.00,0.00,5.56,-0.96,0.00,0.00
33,JBNL,-,169.00,171.00,162.00,164.00,164.00,0.00,0.00,164.90,"6,286.00",169.00,"1,036,557.00",32,-5.00,9.00,0.00,5.56,-0.55,0.00,0.00
34,KAFIL,-,102.00,101.00,98.00,98.00,98.00,0.00,0.00,99.36,432.00,102.00,"42,923.00",7,-4.00,3.00,0.00,3.06,-1.39,0.00,0.00
35,KBBL,-,180.00,180.00,180.00,180.00,180.00,0.00,0.00,180.00,"18,700.00",180.00,"3,366,000.00",3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,KBL,-,250.00,255.00,246.00,250.00,250.00,0.00,0.00,250.55,839.00,250.00,"210,212.00",9,0.00,9.00,0.00,3.66,-0.22,0.00,0.00
37,KDBL,-,84.00,86.00,83.00,85.00,85.00,0.00,0.00,85.11,262.00,84.00,"22,300.00",6,1.00,3.00,0.00,3.61,-0.13,0.00,0.00
38,KIST,-,138.00,137.00,132.00,134.00,134.00,0.00,0.00,133.18,"24,350.00",138.00,"3,242,950.00",29,-4.00,5.00,0.00,3.79,0.61,0.00,0.00
39,KMBL,-,122.00,121.00,116.00,118.00,118.00,0.00,0.00,117.85,"1,150.00",122.00,"135,530.00",19,-4.00,5.00,0.00,4.31,0.13,0.00,0.00
40,LBL,-,335.00,341.00,335.00,341.00,341.00,0.00,0.00,338.53,"3,337.00",335.00,"1,129,666.00",12,6.00,6.00,0.00,1.79,0.73,0.00,0.00
41,LUBL,-,241.00,243.00,239.00,242.00,242.00,0.00,0.00,240.56,"2,795.00",241.00,"672,370.00",11,1.00,4.00,0.00,1.67,0.59,0.00,0.00
42,MBBL,-,102.00,100.00,98.00,98.00,98.00,0.00,0.00,98.40,200.00,102.00,"19,680.00",4,-4.00,2.00,0.00,2.04,-0.41,0.00,0.00
43,MBL,-,226.00,226.00,223.00,226.00,226.00,0.00,0.00,224.93,"17,956.00",226.00,"4,038,865.00",18,0.00,3.00,0.00,1.35,0.47,0.00,0.00
44,MDBL,-,125.00,127.00,126.00,126.00,126.00,0.00,0.00,126.51,"1,016.00",125.00,"128,532.00",3,1.00,1.00,0.00,0.79,-0.40,0.00,0.00
