S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,35.99,822.10,849.90,822.10,844.90,844.90,0.00,0.00,838.54,123.00,838.00,"103,140.40",10,6.90,27.80,0.82,3.38,0.75,"1,870.00",806.60
2,ADBL,37.51,325.00,330.00,319.20,321.00,321.00,0.00,0.00,322.91,"28,991.00",327.00,"9,361,424.80",274,-6.00,10.80,-1.83,3.38,-0.59,620.00,319.20
3,AHPC,32.80,370.00,386.90,370.00,381.00,381.00,0.00,0.00,379.26,"59,562.00",375.00,"22,589,657.70",320,6.00,16.90,1.60,4.57,0.46,785.00,349.20
4,AIL,32.30,455.00,472.00,455.00,460.00,460.00,0.00,0.00,459.41,"1,303.00",455.00,"598,605.50",39,5.00,17.00,1.10,3.74,0.13,901.00,454.00
5,AKBSL,36.85,503.00,542.50,503.00,542.50,542.50,0.00,0.00,528.07,70.00,493.20,"36,964.90",8,49.30,39.50,10.00,7.85,2.66,"1,250.00",391.50
6,AKJCL,32.90,202.00,209.00,200.00,203.00,203.00,0.00,0.00,204.86,"19,846.00",203.00,"4,065,566.00",152,0.00,9.00,0.00,4.50,-0.91,502.00,200.00
7,AKPL,33.55,435.50,444.00,421.00,437.00,437.00,0.00,0.00,432.95,"55,236.00",427.00,"23,914,684.40",327,10.00,23.00,2.34,5.46,0.93,882.40,377.30
8,ALBSL,31.56,"1,192.00","1,239.00","1,191.10","1,234.80","1,234.80",0.00,0.00,"1,211.13",548.00,"1,215.00","663,700.00",22,19.80,47.90,1.63,4.02,1.92,"2,101.20","1,176.00"
9,ALICL,34.90,542.00,555.00,536.10,540.00,540.00,0.00,0.00,544.77,"16,838.00",546.90,"9,172,823.80",128,-6.90,18.90,-1.26,3.53,-0.88,"1,513.00",525.20
10,API,34.12,255.00,265.00,252.00,260.00,260.00,0.00,0.00,259.30,"56,754.00",255.80,"14,716,489.30",352,4.20,13.00,1.64,5.16,0.27,670.00,252.00
11,BARUN,40.49,436.50,455.80,430.00,446.00,446.00,0.00,0.00,443.65,"17,610.00",435.90,"7,812,737.20",105,10.10,25.80,2.32,6.00,0.53,763.40,345.60
12,BBC,37.47,"3,492.00","3,558.00","3,492.00","3,500.00","3,500.00",0.00,0.00,"3,508.59",170.00,"3,425.00","596,460.00",15,75.00,66.00,2.19,1.89,-0.25,"8,124.30","3,365.00"
13,BFC,30.60,355.00,369.20,350.10,358.00,358.00,0.00,0.00,356.97,"3,714.00",355.00,"1,325,770.50",48,3.00,19.10,0.85,5.46,0.29,630.00,310.00
14,BHL,32.55,245.00,274.30,230.00,259.90,259.90,0.00,0.00,252.14,"10,055.00",250.00,"2,535,242.00",632,9.90,44.30,3.96,19.26,2.99,328.10,104.70
15,BNHC,30.65,382.20,395.00,375.00,388.00,388.00,0.00,0.00,382.26,810.00,390.00,"309,627.00",32,-2.00,20.00,-0.51,5.33,1.48,744.00,246.70
16,BNT,34.51,"12,709.90","12,709.90","12,700.00","12,700.00","12,700.00",0.00,0.00,"12,703.30",30.00,"12,460.70","381,099.00",3,239.30,9.90,1.92,0.08,-0.03,"17,670.00","9,750.00"
17,BPCL,32.25,314.00,330.00,313.00,319.00,319.00,0.00,0.00,321.07,"4,411.00",314.50,"1,416,222.40",84,4.50,17.00,1.43,5.43,-0.65,703.00,313.00
18,CBBL,31.78,961.00,990.00,960.00,975.00,975.00,0.00,0.00,975.81,"10,146.00",970.00,"9,900,564.70",219,5.00,30.00,0.52,3.13,-0.08,"2,065.20",960.00
19,CBL,50.99,205.90,211.00,202.00,209.00,209.00,0.00,0.00,207.27,"227,340.00",201.90,"47,119,785.50",315,7.10,9.00,3.52,4.46,0.83,316.00,196.10
20,CCBL,34.79,190.00,197.90,190.00,193.70,193.70,0.00,0.00,194.12,"44,030.00",192.00,"8,547,004.50",248,1.70,7.90,0.89,4.16,-0.22,324.00,189.00
21,CFCL,33.96,265.00,283.00,260.10,273.00,273.00,0.00,0.00,273.47,"10,110.00",268.00,"2,764,799.00",94,5.00,22.90,1.87,8.80,-0.17,814.90,260.10
22,CGH,36.95,"1,015.00","1,036.50",999.00,"1,005.00","1,005.00",0.00,0.00,"1,011.66","2,298.00","1,017.00","2,324,804.00",49,-12.00,37.50,-1.18,3.75,-0.66,"1,790.00",997.60
23,CHCL,34.59,373.20,384.00,372.00,380.00,380.00,0.00,0.00,379.49,"12,656.00",379.00,"4,802,774.90",110,1.00,12.00,0.26,3.23,0.14,760.00,372.00
24,CHDC,32.99,677.00,699.00,670.20,690.00,690.00,0.00,0.00,684.82,"2,625.00",677.90,"1,797,648.00",64,12.10,28.80,1.78,4.30,0.75,"1,415.00",560.00
25,CHL,33.60,270.00,277.40,269.00,273.00,273.00,0.00,0.00,271.60,"5,111.00",269.00,"1,388,153.60",52,4.00,8.40,1.49,3.12,0.51,715.00,266.30
26,CIT,35.36,"2,290.00","2,339.00","2,285.00","2,318.90","2,318.90",0.00,0.00,"2,316.20","5,927.00","2,304.00","13,728,089.00",133,14.90,54.00,0.65,2.36,0.12,"4,560.00","2,285.00"
27,CLBSL,31.72,744.00,754.00,731.00,745.00,745.00,0.00,0.00,738.03,649.00,730.00,"478,982.70",15,15.00,23.00,2.05,3.15,0.94,"1,811.00",730.00
28,CMF1,31.64,8.67,8.67,8.61,8.61,8.61,0.00,0.00,8.64,"1,725.00",8.50,"14,895.75",3,0.11,0.06,1.29,0.70,-0.29,16.01,8.50
29,CMF2,22.10,9.22,9.39,9.22,9.39,9.39,0.00,0.00,9.23,"1,600.00",9.25,"14,769.00",2,0.14,0.17,1.51,1.84,1.70,16.87,9.04
30,CORBL,33.70,279.30,293.00,275.00,287.00,287.00,0.00,0.00,285.67,"6,250.00",285.00,"1,785,434.70",67,2.00,18.00,0.70,6.55,0.46,"1,155.00",275.00
31,CZBIL,36.48,218.00,220.00,213.70,217.70,217.70,0.00,0.00,217.38,"17,539.00",216.80,"3,812,563.40",119,0.90,6.30,0.42,2.95,0.15,444.00,213.70
32,DDBL,30.71,963.90,975.00,947.00,958.00,958.00,0.00,0.00,959.48,"1,746.00",945.00,"1,675,254.10",56,13.00,28.00,1.38,2.96,-0.15,"2,000.00",943.00
33,DHPL,37.32,209.00,220.00,208.00,215.00,215.00,0.00,0.00,211.27,"8,486.00",212.00,"1,792,876.00",70,3.00,12.00,1.42,5.77,1.73,485.20,208.00
34,EBL,35.87,438.20,452.00,438.20,445.00,445.00,0.00,0.00,445.07,"8,950.00",447.00,"3,983,396.00",96,-2.00,13.80,-0.45,3.15,-0.02,805.00,438.20
35,EDBL,32.69,347.00,353.90,347.00,353.00,353.00,0.00,0.00,348.68,"1,774.00",347.00,"618,558.40",18,6.00,6.90,1.73,1.99,1.22,"1,195.00",341.00
36,ENL,26.62,642.00,680.00,641.10,655.00,655.00,0.00,0.00,657.93,600.00,654.00,"394,755.90",19,1.00,38.90,0.15,6.07,-0.45,"1,481.90",287.10
37,FMDBL,35.85,626.20,632.00,616.00,623.00,623.00,0.00,0.00,621.75,"3,456.00",614.00,"2,148,780.10",50,9.00,16.00,1.47,2.60,0.20,"1,365.00",607.10
38,FOWAD,25.92,"2,280.00","2,319.00","2,280.00","2,307.00","2,307.00",0.00,0.00,"2,301.93","2,027.00","2,289.00","4,666,016.50",76,18.00,39.00,0.79,1.71,0.22,"3,311.00","2,000.00"
39,GBBL,35.11,363.00,371.00,361.70,365.00,365.00,0.00,0.00,365.07,"10,975.00",362.00,"4,006,626.60",106,3.00,9.30,0.83,2.57,-0.02,750.00,355.50
40,GBLBS,32.20,715.00,718.00,700.00,710.00,710.00,0.00,0.00,709.08,"1,724.00",705.00,"1,222,459.20",28,5.00,18.00,0.71,2.57,0.13,"1,437.00",696.00
41,GFCL,37.46,403.00,408.00,400.00,400.00,400.00,0.00,0.00,403.67,"5,190.00",400.00,"2,095,065.30",54,0.00,8.00,0.00,2.00,-0.92,"1,010.00",396.10
