S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,118.00,119.00,116.00,117.00,117.00,0.00,0.00,117.61,"1,880.00",118.00,"221,098.00",20,-1.00,3.00,0.00,2.59,-0.52,0.00,0.00
2,AFL,-,128.00,126.00,124.00,126.00,126.00,0.00,0.00,125.80,410.00,128.00,"51,580.00",8,-2.00,2.00,0.00,1.61,0.15,0.00,0.00
3,AHPC,-,330.00,339.00,330.00,339.00,339.00,0.00,0.00,333.35,190.00,330.00,"63,336.00",5,9.00,9.00,0.00,2.73,1.67,0.00,0.00
4,ALDBL,-,99.00,99.00,97.00,98.00,98.00,0.00,0.00,97.70,560.00,99.00,"54,710.00",36,-1.00,2.00,0.00,2.06,0.31,0.00,0.00
5,ALICL,-,144.00,142.00,142.00,142.00,142.00,0.00,0.00,142.00,70.00,144.00,"9,940.00",3,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
6,ARDBL,-,160.00,152.00,145.00,145.00,145.00,0.00,0.00,147.60,50.00,160.00,"7,380.00",4,-15.00,7.00,0.00,4.83,-1.79,0.00,0.00
7,BBBL,-,231.00,231.00,231.00,231.00,231.00,0.00,0.00,231.00,"1,500.00",231.00,"346,500.00",4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,BDBL,-,146.00,144.00,132.00,132.00,132.00,0.00,0.00,137.29,"1,741.00",146.00,"239,028.00",8,-14.00,12.00,0.00,9.09,-4.01,0.00,0.00
9,BFL,-,80.00,79.00,76.00,76.00,76.00,0.00,0.00,77.76,"1,110.00",80.00,"86,310.00",13,-4.00,3.00,0.00,3.95,-2.31,0.00,0.00
10,BLDBL,-,126.00,124.00,124.00,124.00,124.00,0.00,0.00,124.00,28.00,126.00,"3,472.00",1,-2.00,0.00,0.00,0.00,0.00,0.00,0.00
11,BOAN,-,163.00,165.00,162.00,163.00,163.00,0.00,0.00,163.29,420.00,163.00,"68,580.00",11,0.00,3.00,0.00,1.85,-0.18,0.00,0.00
12,BOK,-,531.00,441.00,430.00,430.00,430.00,0.00,0.00,432.93,930.00,531.00,"402,629.00",11,-101.00,11.00,0.00,2.56,-0.68,0.00,0.00
13,BSBL,-,107.00,107.00,105.00,107.00,107.00,0.00,0.00,106.11,"1,310.00",107.00,"139,010.00",35,0.00,2.00,0.00,1.90,0.83,0.00,0.00
14,CDBL,-,144.00,142.00,136.00,138.00,138.00,0.00,0.00,137.33,300.00,144.00,"41,200.00",8,-6.00,6.00,0.00,4.41,0.48,0.00,0.00
15,CEDBL,-,140.00,140.00,136.00,136.00,136.00,0.00,0.00,138.50,"1,086.00",140.00,"150,408.00",9,-4.00,4.00,0.00,2.94,-1.84,0.00,0.00
16,CHCL,-,815.00,800.00,784.00,785.00,785.00,0.00,0.00,787.42,"3,330.00",815.00,"2,622,110.00",17,-30.00,16.00,0.00,2.04,-0.31,0.00,0.00
17,CZBIL,-,173.00,173.00,170.00,173.00,173.00,0.00,0.00,172.41,"1,110.00",173.00,"191,380.00",12,0.00,3.00,0.00,1.76,0.34,0.00,0.00
18,DIYALO,-,85.00,87.00,86.00,87.00,87.00,0.00,0.00,86.17,60.00,85.00,"5,170.00",2,2.00,1.00,0.00,1.16,0.96,0.00,0.00
19,EBL,-,940.00,938.00,908.00,915.00,915.00,0.00,0.00,915.30,"1,689.00",940.00,"1,545,942.00",20,-25.00,30.00,0.00,3.30,-0.03,0.00,0.00
20,FFCL,-,206.00,202.00,202.00,202.00,202.00,0.00,0.00,202.00,10.00,206.00,"2,020.00",1,-4.00,0.00,0.00,0.00,0.00,0.00,0.00
21,GBBL,-,131.00,133.00,130.00,133.00,133.00,0.00,0.00,131.89,720.00,131.00,"94,960.00",34,2.00,3.00,0.00,2.31,0.84,0.00,0.00
22,GBL,-,164.00,164.00,158.00,163.00,163.00,0.00,0.00,160.82,390.00,164.00,"62,720.00",6,-1.00,6.00,0.00,3.80,1.34,0.00,0.00
23,GLICL,-,174.00,166.00,166.00,166.00,166.00,0.00,0.00,166.00,10.00,174.00,"1,660.00",1,-8.00,0.00,0.00,0.00,0.00,0.00,0.00
24,GSDBL,-,97.00,97.00,96.00,96.00,96.00,0.00,0.00,96.67,30.00,97.00,"2,900.00",3,-1.00,1.00,0.00,1.04,-0.69,0.00,0.00
25,HBL,-,561.00,561.00,545.00,545.00,545.00,0.00,0.00,555.30,"2,154.00",561.00,"1,196,115.00",7,-16.00,16.00,0.00,2.94,-1.89,0.00,0.00
26,HFL,-,72.00,71.00,68.00,68.00,68.00,0.00,0.00,69.91,750.00,72.00,"52,430.00",31,-4.00,3.00,0.00,4.41,-2.80,0.00,0.00
