S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,65.94,510.00,515.00,506.00,512.00,512.00,0.00,0.00,510.28,"196,565.00",505.00,"100,303,247.00",592,7.00,9.00,1.39,1.78,0.34,515.00,313.00
2,AHPC,55.47,255.00,260.00,246.00,253.00,253.00,0.00,0.00,252.69,"110,187.00",250.00,"27,843,077.00",253,3.00,14.00,1.20,5.69,0.12,282.00,88.00
3,AIL,67.59,590.00,603.00,578.00,588.00,588.00,0.00,0.00,589.60,"46,009.00",590.00,"27,127,054.00",852,-2.00,25.00,-0.34,4.33,-0.27,606.00,291.00
4,AKJCL,47.54,120.00,124.00,120.00,121.00,121.00,0.00,0.00,120.80,"6,278.00",122.00,"758,383.00",179,-1.00,4.00,-0.82,3.33,0.17,144.00,46.40
5,AKPL,48.49,269.00,274.00,266.00,268.00,268.00,0.00,0.00,268.73,"146,121.00",273.00,"39,266,613.00",308,-5.00,8.00,-1.83,3.01,-0.27,294.00,100.00
6,ALBSL,54.01,903.00,903.00,846.00,858.00,858.00,0.00,0.00,858.90,"3,050.00",860.00,"2,619,658.00",66,-2.00,57.00,-0.23,6.74,-0.11,995.00,382.00
7,ALICL,56.85,807.00,807.00,785.00,797.00,797.00,0.00,0.00,797.19,"41,599.00",808.00,"33,162,151.00",179,-11.00,22.00,-1.36,2.80,-0.02,835.00,309.00
8,API,46.84,256.00,262.00,256.00,261.00,261.00,0.00,0.00,258.72,"75,850.00",256.00,"19,624,247.00",271,5.00,6.00,1.95,2.34,0.87,291.00,100.00
9,BARUN,48.86,203.00,215.00,203.00,207.00,207.00,0.00,0.00,206.09,"16,152.00",207.00,"3,328,760.00",105,0.00,12.00,0.00,5.91,0.44,225.00,76.00
10,BBC,63.01,"3,167.00","3,553.00","3,041.00","3,266.00","3,266.00",0.00,0.00,"3,215.42","4,877.00","3,230.00","15,681,587.00",93,36.00,512.00,1.11,16.84,1.55,"3,553.00","1,390.00"
11,BFC,52.88,142.00,142.00,137.00,141.00,141.00,0.00,0.00,138.93,"27,987.00",142.00,"3,888,133.00",72,-1.00,5.00,-0.70,3.65,1.47,161.00,81.00
12,BNT,66.78,"9,476.00","9,790.00","9,359.00","9,455.00","9,455.00",0.00,0.00,"9,610.20","1,140.00","9,291.00","10,955,630.00",47,164.00,431.00,1.77,4.61,-1.64,"10,219.00","5,847.00"
13,BOKL,50.22,266.00,266.00,251.00,253.00,253.00,0.00,0.00,252.80,"95,251.00",254.00,"24,079,650.00",291,-1.00,15.00,-0.39,5.98,0.08,301.00,196.00
14,BPCL,53.18,412.00,415.00,410.00,413.00,413.00,0.00,0.00,412.30,"19,950.00",411.00,"8,225,331.00",163,2.00,5.00,0.49,1.22,0.17,433.00,300.00
15,CBBL,50.72,"1,172.00","1,185.00","1,170.00","1,175.00","1,175.00",0.00,0.00,"1,175.60","15,321.00","1,185.00","18,011,379.00",127,-10.00,15.00,-0.84,1.28,-0.05,"1,343.00",751.00
16,CBL,49.26,170.00,173.00,169.00,171.00,171.00,0.00,0.00,170.46,"96,359.00",171.00,"16,425,605.00",227,0.00,4.00,0.00,2.37,0.31,188.00,125.00
17,CCBL,50.70,191.00,193.00,189.00,190.00,190.00,0.00,0.00,189.88,"97,597.00",191.00,"18,531,389.00",296,-1.00,4.00,-0.52,2.12,0.06,210.00,136.00
18,CCBLPO,64.24,112.00,112.00,112.00,112.00,112.00,0.00,0.00,112.00,"70,000.00",112.00,"7,840,000.00",4,0.00,0.00,0.00,0.00,0.00,120.00,100.00
19,CFCL,55.49,168.00,174.00,165.00,168.00,168.00,0.00,0.00,171.48,"22,298.00",171.00,"3,823,716.00",49,-3.00,9.00,-1.75,5.45,-2.07,191.00,108.00
20,CHCL,51.15,516.00,521.00,515.00,515.00,515.00,0.00,0.00,518.53,"32,859.00",523.00,"17,038,291.00",147,-8.00,6.00,-1.53,1.17,-0.68,546.00,325.00
