S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ACLBSL,33.13,"1,085.00","1,085.00","1,058.40","1,058.40","1,058.40",0.00,0.00,"1,070.71","1,208.00","1,090.00","1,293,413.00",46,-31.60,26.60,-2.90,2.51,-1.16,"1,870.00","1,058.40"
2,ADBL,35.90,375.00,382.00,375.00,379.00,379.00,0.00,0.00,378.72,"44,329.00",380.50,"16,788,376.70",312,-1.50,7.00,-0.39,1.87,0.07,620.00,375.00
3,AHPC,39.43,451.00,459.50,448.00,451.00,451.00,0.00,0.00,451.84,"86,541.00",456.10,"39,102,886.10",474,-5.10,11.50,-1.12,2.57,-0.19,785.00,237.00
4,AIL,34.15,700.00,718.00,700.00,702.00,702.00,0.00,0.00,704.86,"4,270.00",700.00,"3,009,739.50",84,2.00,18.00,0.29,2.57,-0.41,"1,125.00",588.80
5,AKJCL,39.66,276.00,280.00,273.00,274.00,274.00,0.00,0.00,275.90,"28,207.00",275.30,"7,782,183.00",229,-1.30,7.00,-0.47,2.56,-0.69,502.00,143.00
6,AKPL,39.94,463.00,473.90,460.10,462.00,462.00,0.00,0.00,463.79,"36,309.00",466.00,"16,839,616.90",340,-4.00,13.80,-0.86,3.00,-0.39,882.40,314.00
7,ALBSL,38.86,"1,335.00","1,339.00","1,320.00","1,339.00","1,339.00",0.00,0.00,"1,321.47",439.00,"1,335.00","580,127.00",19,4.00,19.00,0.30,1.44,1.31,"2,101.20","1,176.00"
8,ALICL,31.78,855.00,855.00,836.00,838.30,838.30,0.00,0.00,841.53,"12,514.00",848.00,"10,530,848.40",132,-9.70,19.00,-1.14,2.27,-0.38,"1,565.00",775.00
9,API,37.76,349.00,349.00,337.20,338.70,338.70,0.00,0.00,340.31,"49,286.00",343.00,"16,772,420.30",436,-4.30,11.80,-1.25,3.50,-0.47,670.00,300.00
10,BARUN,38.13,460.00,460.00,450.00,450.90,450.90,0.00,0.00,452.56,"14,635.00",460.00,"6,623,151.00",98,-9.10,10.00,-1.98,2.22,-0.37,763.40,225.00
11,BBC,47.64,"4,199.00","4,310.00","4,199.00","4,300.00","4,300.00",0.00,0.00,"4,270.45",112.00,"4,284.00","478,290.00",10,16.00,111.00,0.37,2.64,0.69,"8,208.00","3,024.00"
12,BFC,40.82,423.00,433.40,420.00,420.00,420.00,0.00,0.00,425.56,"7,921.00",423.00,"3,370,876.00",86,-3.00,13.40,-0.71,3.19,-1.32,630.00,157.00
13,BNHC,37.85,600.00,613.10,596.20,596.20,596.20,0.00,0.00,602.84,"4,805.00",607.10,"2,896,660.00",127,-10.90,16.90,-1.80,2.83,-1.11,744.00,246.70
14,BNT,42.03,"14,500.00","14,500.00","14,255.10","14,255.10","14,255.10",0.00,0.00,"14,354.43",113.00,"14,500.00","1,622,051.00",8,-244.90,244.90,-1.69,1.72,-0.70,"17,670.00","8,788.00"
15,BOKL,35.70,265.20,265.20,259.90,260.00,260.00,0.00,0.00,260.69,"41,239.00",260.00,"10,750,485.20",164,0.00,5.30,0.00,2.04,-0.26,433.20,240.20
16,BPCL,39.50,398.00,399.00,387.20,395.00,395.00,0.00,0.00,395.35,"12,918.00",397.00,"5,107,141.80",173,-2.00,11.80,-0.50,3.05,-0.09,703.00,387.20
17,CBBL,37.00,"1,186.00","1,210.00","1,175.00","1,180.00","1,180.00",0.00,0.00,"1,187.24","15,590.00","1,190.00","18,509,004.60",299,-10.00,35.00,-0.84,2.98,-0.61,"2,065.20","1,175.00"
18,CBL,37.04,222.00,226.00,222.00,225.00,225.00,0.00,0.00,224.05,"25,700.00",225.00,"5,758,050.10",156,0.00,4.00,0.00,1.80,0.42,316.00,218.00
19,CCBL,33.98,220.00,222.00,219.00,219.40,219.40,0.00,0.00,220.16,"31,448.00",220.90,"6,923,546.00",193,-1.50,3.00,-0.68,1.37,-0.35,324.00,212.00
20,CFCL,45.88,393.50,408.00,393.50,396.00,396.00,0.00,0.00,398.29,"17,655.00",398.00,"7,031,857.00",117,-2.00,14.50,-0.50,3.68,-0.58,814.90,200.00
21,CGH,32.62,"1,320.00","1,340.00","1,310.00","1,310.00","1,310.00",0.00,0.00,"1,320.18","3,107.00","1,320.00","4,101,793.00",97,-10.00,30.00,-0.76,2.29,-0.78,"2,800.00","1,237.00"
22,CHCL,44.59,470.00,475.00,465.00,470.00,470.00,0.00,0.00,470.82,"22,384.00",470.00,"10,538,899.40",149,0.00,10.00,0.00,2.15,-0.18,785.00,462.00
23,CHDC,44.83,834.00,835.00,815.00,824.00,824.00,0.00,0.00,821.17,"6,968.00",834.00,"5,721,925.00",132,-10.00,20.00,-1.20,2.45,0.34,"1,415.00",416.00
