rank,symbol,company_name,close,change,change_percent
1,MKJC,Mailung Khola Jal Vidhyut Company Limited,276.30,-48.70,-14.98
2,RHPL,Rasuwagadhi Hydropower Company Limited,165.90,-22.10,-11.76
3,MBLEF,MBL Equity Fund,8.50,-1.01,-10.62
4,CHCL,Chilime Hydro power Company Limited,362.50,-42.50,-10.49
5,SIGS3,Siddhartha Investment Growth Scheme 3,9.91,-1.08,-9.83
6,MANDU,Mandu Hydropower Limited,635.00,-65.10,-9.30
7,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1012.00,-98.00,-8.83
8,SAPIL,Sarvottam Paints Industries Limited,1276.00,-118.80,-8.52
9,SKHEL,Suryakunda Hydro Electric Limited,815.00,-62.00,-7.07
10,NRIC,Nepal Reinsurance Company Limited,793.00,-58.00,-6.82
11,MEPDL,Mount Everest Power Development Limited,630.00,-45.00,-6.67
12,MSHL,Mid Solu Hydropower Company Limited,510.30,-35.70,-6.54
13,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,322.90,-22.10,-6.41
14,RLEL,Ridge Line Energy Limited,790.00,-54.00,-6.40
15,HEI,Himalayan Everest Insurance Limited,459.00,-30.90,-6.31
