rank,symbol,company_name,close,change,change_percent
1,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,2725.00,317.00,13.16
2,GCIL,Ghorahi Cement Industry Limited,398.00,28.00,7.57
3,NICAD2091,7% NIC Asia Debenture 2091,1094.00,62.00,6.01
4,PCIL,Palpa Cements Industries Limited,646.00,25.00,4.03
5,NABILD2089,7% Nabil Debenture 2089,1100.00,42.00,3.97
6,SYPNL,SY Panel Nepal Limited,1293.00,48.70,3.91
7,SPHL,Sayapatri Hydropower Limited,540.00,17.00,3.25
8,JBBD87,Jyoti Bikash Bank Bond 2087,1133.00,32.90,2.99
9,MMF1,Mega Mutual Fund - 1,8.96,0.26,2.99
10,HEIP,Himalayan Everest Insurance Limited Promoter,318.00,8.70,2.81
11,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1140.90,30.90,2.78
12,HLICF,HLI Large Cap Fund,8.50,0.22,2.66
13,SARBTM,Sarbottam Cement Limited,813.90,20.90,2.64
14,ENL,Emerging Nepal Limited,784.00,20.00,2.62
15,SONA,Sonapur Minerals and Oil Limited,416.90,8.90,2.18
