rank,symbol,company_name,volume,ltp
1,SHIVM,Shivam Cements Limited,397552.00,664.00
2,RHPL,Rasuwagadhi Hydropower Company Limited,379967.00,165.90
3,CHCL,Chilime Hydro power Company Limited,326757.00,362.50
4,SFEF,Sunrise Focused Equity Fund,300400.00,9.85
5,RIDI,Ridi Power Company Limited,214321.00,339.50
6,SONA,Sonapur Minerals and Oil Limited,188835.00,416.90
7,KBL,Kumari Bank Limited,178540.00,211.00
8,SAGF,Sanima Growth Fund,176364.00,9.75
9,GCIL,Ghorahi Cement Industry Limited,173367.00,398.00
10,SANIMA,Sanima Bank Limited,166345.00,359.00
11,AKJCL,Ankhukhola Hydropower Company Limited,136000.00,336.90
12,API,Api Power Company Limited,132043.00,322.20
13,NHPC,National Hydro Power Company Limited,129856.00,248.00
14,SAHAS,Sahas Urja Limited,126626.00,670.90
15,SAPIL,Sarvottam Paints Industries Limited,115467.00,1276.00
