rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,277458529.10,251216629.33,528675158.43,26241899.77000001,47733425.80
2,42,Sani Securities Company Limited,168163221.30,189828650.90,357991872.20,-21665429.599999994,16638106.80
3,34,Vision Securities Pvt.Limited,128414821.00,147686662.10,276101483.10,-19271841.099999994,9511504.20
4,45,Imperial Securities Co. Limited,107982803.34,150106838.50,258089641.84,-42124035.16,14030756.80
5,49,Online Securities Limited,107916904.10,146286357.70,254203261.80,-38369453.599999994,3776543.00
6,48,Trishakti Securities Public Limited,100815097.34,104797108.70,205612206.04,-3982011.3599999994,8221366.80
7,57,Arya Tara Investment And Securities Pvt. Ltd.,109654558.90,85349453.30,195004012.20,24305105.60000001,9531733.60
8,56,Sri Hari Securities Pvt.Ltd,72416689.10,106855972.60,179272661.70,-34439283.5,22727124.20
9,44,Dynamic Money Managers Securities Pvt.Ltd,92625371.30,80454564.80,173079936.10,12170806.5,2497560.40
10,32,Premier Securites Company Limited,67172683.20,100548862.90,167721546.10,-33376179.700000003,2848004.60
11,33,Dakshinkali Investment Securities Pvt.Limited,100890589.80,58171633.90,159062223.70,42718955.9,4617056.80
12,62,Capital Max Securities Limited,92687559.50,63348070.50,156035630.00,29339489.0,33821684.00
13,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,84226954.40,71416690.70,155643645.10,12810263.700000003,3025690.40
14,14,Nepal Stock House Pvt. Limited,67040490.60,84110780.70,151151271.30,-17070290.1,4188199.60
15,17,ABC Securities Pvt. Limited,55061310.70,82075655.25,137136965.95,-27014344.549999997,1872053.80
