rank,symbol,company_name,turnover,ltp
1,SHIVM,Shivam Cements Limited,263878882.50,664.00
2,SAPIL,Sarvottam Paints Industries Limited,159195100.80,1276.00
3,RSML,Reliance Spinning Mills Limited,121431587.80,2724.00
4,CHCL,Chilime Hydro power Company Limited,120866483.80,362.50
5,SYPNL,SY Panel Nepal Limited,110549611.20,1293.00
6,SAHAS,Sahas Urja Limited,85125527.50,670.90
7,SONA,Sonapur Minerals and Oil Limited,78494404.40,416.90
8,RIDI,Ridi Power Company Limited,72671163.80,339.50
9,GCIL,Ghorahi Cement Industry Limited,67748577.20,398.00
10,PCIL,Palpa Cements Industries Limited,67659854.00,646.00
11,RHPL,Rasuwagadhi Hydropower Company Limited,64077632.30,165.90
12,SANIMA,Sanima Bank Limited,59822966.20,359.00
13,UMHL,United Modi Hydropower Limited,51372671.20,558.00
14,HRL,Himalayan Reinsurance Limited,49318241.60,515.00
15,SOHL,Solu Hydropower Limited,49150788.80,648.00
