rank,symbol,company_name,transactions,ltp
1,SAPIL,Sarvottam Paints Industries Limited,11182,1276.00
2,CHCL,Chilime Hydro power Company Limited,2031,362.50
3,SHIVM,Shivam Cements Limited,1970,664.00
4,SGHL,Sanigad Hydro Limited,1801,471.20
5,PCIL,Palpa Cements Industries Limited,1787,646.00
6,RHPL,Rasuwagadhi Hydropower Company Limited,1739,165.90
7,MEPDL,Mount Everest Power Development Limited,1581,630.00
8,GCIL,Ghorahi Cement Industry Limited,1352,398.00
9,SYPNL,SY Panel Nepal Limited,1167,1293.00
10,SOHL,Solu Hydropower Limited,1095,648.00
11,HRL,Himalayan Reinsurance Limited,1066,515.00
12,SONA,Sonapur Minerals and Oil Limited,1035,416.90
13,KAHL,Kalanga Hydro Limited,1019,476.00
14,SOPL,Sopan Pharmaceuticals Limited,705,736.00
15,SAHAS,Sahas Urja Limited,682,670.90
