Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,555.45","2,556.96","2,508.49","2,513.42",-43.89,-1.71,"3,648,609,877.99"
Sensitive Index,450.75,451.19,443.88,444.43,-6.68,-1.48,"1,247,661,505.10"
Float Index,175.01,175.17,171.96,172.24,-3.02,-1.72,"3,615,744,873.70"
Sensitive Float Index,151.98,152.17,149.54,149.77,-2.41,-1.58,"1,247,661,505.10"
Banking SubIndex,"1,428.15","1,431.49","1,410.74","1,414.12",-14.40,-1.00,"325,176,069.70"
Development Bank Index,"5,438.05","5,438.05","5,365.90","5,385.72",-52.64,-0.96,"103,595,387.40"
Finance Index,"2,248.66","2,264.31","2,224.98","2,236.65",-32.07,-1.41,"71,709,723.70"
Hotels And Tourism,"7,164.16","7,164.16","6,976.65","6,989.28",-174.87,-2.44,"81,733,633.10"
HydroPower Index,"3,524.35","3,528.01","3,419.80","3,437.13",-104.36,-2.94,"1,547,412,954.90"
Investment,94.35,94.35,92.77,92.82,-1.12,-1.19,"83,936,841.80"
Life Insurance,"11,273.23","11,273.23","11,047.12","11,062.72",-222.31,-1.97,"86,906,545.70"
Manufacturing And Processing,"10,449.38","10,525.94","10,378.70","10,485.66",73.64,0.70,"988,947,257.50"
Microfinance Index,"4,411.68","4,412.38","4,342.63","4,368.48",-49.53,-1.12,"107,238,682.20"
Mutual Fund,19.68,19.69,19.45,19.49,-0.19,-1.00,"10,777,750.30"
Non Life Insurance,"9,719.18","9,723.11","9,223.07","9,243.71",-490.06,-5.03,"98,046,736.30"
Others Index,"1,838.23","1,838.23","1,769.08","1,777.44",-60.78,-3.30,"116,988,489.50"
Trading Index,"3,216.55","3,230.21","3,139.48","3,180.71",-35.84,-1.11,"4,052,551.90"
