label,value
Total Turnovers (Rs.),"3,648,609,878.00"
Total Traded Shares,"9,322,185"
Total Transaction,"68,137"
Total Scrips Traded,347
Total Market Cap (Rs.),"4,323,416.07 Millions"
Floated Market Cap (Rs.),"1,456,477.05 Millions"
