label,value
Total Turnovers (Rs.),"5,447,313,168.20"
Total Traded Shares,"17,270,449"
Total Transaction,"51,716"
Total Scrips Traded,356
Total Market Cap (Rs.),"4,523,617.26 Millions"
Floated Market Cap (Rs.),"1,532,456.10 Millions"
