Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,611.39","2,629.94","2,605.32","2,629.81",11.77,0.44,"5,447,313,168.19"
Sensitive Index,467.46,469.20,465.34,469.01,1.55,0.33,"2,219,221,573.60"
Float Index,179.82,181.19,179.46,181.18,0.79,0.43,"5,216,090,156.60"
Sensitive Float Index,157.80,158.44,157.05,158.36,0.55,0.35,"2,219,221,573.60"
Banking SubIndex,"1,497.87","1,507.36","1,490.86","1,504.77",6.90,0.46,"730,917,037.20"
Development Bank Index,"5,438.97","5,452.76","5,418.14","5,444.56",0.73,0.01,"238,439,864.00"
Finance Index,"2,230.87","2,233.33","2,210.07","2,233.28",2.41,0.10,"145,146,196.20"
Hotels And Tourism,"7,161.86","7,192.84","7,116.53","7,171.19",9.33,0.13,"123,117,195.30"
HydroPower Index,"3,574.59","3,604.09","3,570.28","3,603.41",4.77,0.13,"1,898,422,053.20"
Investment,96.54,97.86,95.98,96.65,0.10,0.10,"262,843,153.70"
Life Insurance,"11,800.79","11,884.47","11,665.34","11,884.47",83.68,0.70,"84,034,534.60"
Manufacturing And Processing,"10,638.15","10,853.13","10,612.57","10,833.44",195.29,1.83,"1,429,705,487.80"
Microfinance Index,"4,530.62","4,558.70","4,498.24","4,558.70",28.07,0.61,"210,044,345.60"
Mutual Fund,19.58,19.67,19.47,19.67,0.08,0.42,"46,410,490.20"
Non Life Insurance,"9,666.00","9,658.86","9,550.52","9,633.81",-32.19,-0.33,"35,959,882.70"
Others Index,"1,829.74","1,851.23","1,807.59","1,830.60",0.85,0.04,"50,621,733.30"
Trading Index,"3,238.56","3,271.47","3,233.12","3,270.07",31.50,0.97,"6,838,673.00"
