rank,symbol,company_name,transactions,ltp
1,SONA,Sonapur Minerals and Oil Limited,1804,434.90
2,HDL,Himalayan Distillery Limited,1735,1312.00
3,SHIVM,Shivam Cements Limited,1641,702.00
4,HATHY,Hathway Investment Nepal Limited,1357,452.90
5,PCIL,Palpa Cements Industries Limited,1336,633.00
6,TAMOR,Sanima Middle Tamor Hydropower Limited,1155,533.80
7,GCIL,Ghorahi Cement Industry Limited,974,401.30
8,BHCL,Bikash Hydropower Company Limited,823,574.80
9,SOHL,Solu Hydropower Limited,784,645.00
10,SGHL,Sanigad Hydro Limited,777,486.50
11,LSL,Laxmi Sunrise Bank Limited,673,250.00
12,GBIME,Global IME Bank Limited,660,243.80
13,KBL,Kumari Bank Limited,621,226.00
14,API,Api Power Company Limited,592,334.80
15,GHL,Ghalemdi Hydro Limited,567,253.70
