rank,symbol,company_name,turnover,ltp
1,SHIVM,Shivam Cements Limited,358109181.40,702.00
2,HDL,Himalayan Distillery Limited,351666185.00,1312.00
3,TAMOR,Sanima Middle Tamor Hydropower Limited,243539728.70,533.80
4,RSML,Reliance Spinning Mills Limited,221456573.40,2754.00
5,SONA,Sonapur Minerals and Oil Limited,183698370.10,434.90
6,NABILP,NABIL Bank Limited Promoter Share,156372680.00,310.00
7,LSL,Laxmi Sunrise Bank Limited,137754858.10,250.00
8,HATHY,Hathway Investment Nepal Limited,119263596.20,452.90
9,NBL,Nepal Bank Limited,92217218.00,292.00
10,KBL,Kumari Bank Limited,83332212.40,226.00
11,LEC,Liberty Energy Company Limited,82783588.80,254.80
12,AKJCL,Ankhukhola Hydropower Company Limited,80919663.80,358.00
13,SBL,Siddhartha Bank Limited,80327678.10,456.80
14,RADHI,Radhi Bidyut Company Limited,77651207.70,721.70
15,RIDI,Ridi Power Company Limited,75123617.40,343.00
