rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,648971960.05,350656446.80,999628406.85,298315513.24999994,165389421.40
2,49,Online Securities Limited,181759130.30,201841274.10,383600404.40,-20082143.799999982,16018560.60
3,34,Vision Securities Pvt.Limited,136782034.90,234419096.14,371201131.04,-97637061.23999998,11176939.80
4,45,Imperial Securities Co. Limited,150334214.10,217589986.00,367924200.10,-67255771.9,17223357.20
5,44,Dynamic Money Managers Securities Pvt.Ltd,143139655.60,218968202.18,362107857.78,-75828546.58000001,65790944.40
6,77,Nabil Stock Dealer Limited,158502166.50,169288314.90,327790481.40,-10786148.400000006,48655730.00
7,42,Sani Securities Company Limited,128111136.70,186828554.46,314939691.16,-58717417.760000005,6942257.20
8,39,Sumeru Securities Pvt.Limited,92305248.80,210453841.00,302759089.80,-118148592.2,1305707.20
9,17,ABC Securities Pvt. Limited,191268933.80,97939091.44,289208025.24,93329842.36000001,9268817.20
10,48,Trishakti Securities Public Limited,105234528.80,154595365.20,259829894.00,-49360836.39999999,16754597.20
11,35,Kohinoor Investment and Securities Pvt.Ltd,120280767.40,111624842.60,231905610.00,8655924.800000012,8570644.00
12,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,104260821.18,118077823.20,222338644.38,-13817002.019999996,5261530.60
13,57,Arya Tara Investment And Securities Pvt. Ltd.,104449245.97,95729064.00,200178309.97,8720181.969999999,5719878.80
14,14,Nepal Stock House Pvt. Limited,95578842.30,101598556.82,197177399.12,-6019714.519999996,4197825.80
15,32,Premier Securites Company Limited,92059721.62,102573604.60,194633326.22,-10513882.97999999,1422912.40
