rank,symbol,company_name,close,change,change_percent
1,NLO,Nepal Lube Oil Limited,271.30,30.08,12.47
2,SONA,Sonapur Minerals and Oil Limited,434.90,30.90,7.65
3,KSY,Kumari Sabal Yojana,9.53,0.67,7.56
4,GCIL,Ghorahi Cement Industry Limited,401.30,26.50,7.07
5,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1630.00,99.00,6.47
6,ICFCD83,12% ICFC Finance Limited Debenture 2083,967.20,46.00,4.99
7,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1144.00,51.00,4.67
8,SNORL,Snow Rivers Limited,899.00,39.91,4.65
9,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,146.30,5.20,3.69
10,PCIL,Palpa Cements Industries Limited,633.00,22.00,3.60
11,TVCL,Trishuli Jal Vidhyut Company Limited,305.00,9.00,3.04
12,HEIP,Himalayan Everest Insurance Limited Promoter,319.40,9.30,3.00
13,NBLD87,8.5% Nepal Bank Debenture 2087,1091.80,31.80,3.00
14,MND84/85,8.75% Muktinath Debenture/Rinpatra 2084/85,1100.00,32.00,3.00
15,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1136.00,33.00,2.99
