rank,symbol,company_name,close,change,change_percent
1,MSHL,Mid Solu Hydropower Company Limited,550.00,-72.00,-11.58
2,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1205.10,-136.80,-10.19
3,C30MF,Citizens Super 30 Mutual Fund,9.75,-0.35,-3.47
4,HATHY,Hathway Investment Nepal Limited,452.90,-16.10,-3.43
5,RBCLPO,Rastriya Beema Company Limited Promoter Share,11514.00,-356.00,-3.00
6,NMFBSP,National Laghubitta Bittiya Sanstha Limited Promoter,635.40,-19.60,-2.99
7,JBBD87,Jyoti Bikash Bank Bond 2087,1135.00,-35.00,-2.99
8,LUK,Laxmi Unnati Kosh,9.48,-0.29,-2.97
9,MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,727.10,-21.80,-2.91
10,MKJC,Mailung Khola Jal Vidhyut Company Limited,329.30,-9.70,-2.86
11,NCCD86,9.5%  NCC Rinpatra 2086,1135.00,-33.00,-2.83
12,GBIMESY2,Global IME Samunnat Yojana -II,9.00,-0.26,-2.81
13,PBLD87,8.5% Prabhu Bank Debenture 2087,1095.00,-30.00,-2.67
14,NBF3,Nabil Balanced Fund III,9.00,-0.23,-2.49
15,RBBD83,8.5% RBBL Debenture 2083,1022.10,-22.90,-2.19
