rank,symbol,company_name,volume,ltp
1,HLICF,HLI Large Cap Fund,3900250.00,8.66
2,LSL,Laxmi Sunrise Bank Limited,554274.00,250.00
3,SHIVM,Shivam Cements Limited,513243.00,702.00
4,NABILP,NABIL Bank Limited Promoter Share,504428.00,310.00
5,TAMOR,Sanima Middle Tamor Hydropower Limited,464282.00,533.80
6,SONA,Sonapur Minerals and Oil Limited,435148.00,434.90
7,KBL,Kumari Bank Limited,369479.00,226.00
8,LEC,Liberty Energy Company Limited,326188.00,254.80
9,NBL,Nepal Bank Limited,315961.00,292.00
10,PSF,Prabhu Select Fund,292062.00,10.86
11,GHL,Ghalemdi Hydro Limited,289390.00,253.70
12,HDL,Himalayan Distillery Limited,269776.00,1312.00
13,HATHY,Hathway Investment Nepal Limited,264625.00,452.90
14,HDHPC,Himal Dolakha Hydropower Company Limited,239506.00,220.30
15,AKJCL,Ankhukhola Hydropower Company Limited,226896.00,358.00
