rank,symbol,company_name,volume,ltp
1,SIGS3,Siddhartha Investment Growth Scheme 3,1883385.00,10.80
2,PRSF,Prabhu Smart Fund,979489.00,12.80
3,KKHC,Khani Khola Hydropower Company Limited,814260.00,299.00
4,SOHL,Solu Hydropower Limited,553373.00,687.80
5,SEF,Siddhartha Equity Fund,535566.00,9.50
6,ADBLB87,4% Agricultural Bond 2087,500000.00,1012.00
7,RIDI,Ridi Power Company Limited,425770.00,359.60
8,AKJCL,Ankhukhola Hydropower Company Limited,355959.00,349.10
9,PRVU,Prabhu Bank Limited,308824.00,181.80
10,UMHL,United Modi Hydropower Limited,280487.00,602.50
11,GHL,Ghalemdi Hydro Limited,260474.00,235.60
12,KBL,Kumari Bank Limited,240507.00,212.10
13,NMB50,NMB 50,237712.00,9.90
14,GBIME,Global IME Bank Limited,229247.00,245.00
15,NSIF2,NMB Sulav Investment Fund - II,208749.00,11.00
