rank,symbol,company_name,close,change,change_percent
1,SMJC,Sagarmatha Jalbidhyut Company Limited,429.00,-51.00,-10.63
2,KKHC,Khani Khola Hydropower Company Limited,299.00,-32.00,-9.67
3,SEF,Siddhartha Equity Fund,9.50,-0.73,-7.14
4,SAPDBL,Saptakoshi Development Bank Limited,730.00,-52.00,-6.65
5,LUK,Laxmi Unnati Kosh,9.99,-0.61,-5.75
6,SLCF,Sanima Large Cap Fund,9.82,-0.58,-5.58
7,HATHY,Hathway Investment Nepal Limited,618.90,-33.70,-5.16
8,MBLEF,MBL Equity Fund,9.92,-0.53,-5.07
9,SAIL,Shreenagar Agritech Industries Limited,1025.00,-50.00,-4.65
10,SIGS2,Siddhartha Investment Growth Scheme-2,10.53,-0.49,-4.45
11,SMB,Support Laghubitta Bittiya Sanstha Limited,1722.90,-78.10,-4.34
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1023.50,-45.50,-4.26
13,RSML,Reliance Spinning Mills Limited,2725.00,-116.60,-4.10
14,APHL,Appolo Hydropower Limited,750.40,-31.60,-4.04
15,BGWT,Bhagawati Hydropower Development Company Limited,500.00,-19.00,-3.66
