rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3326,532.00
2,SOHL,Solu Hydropower Limited,2359,687.80
3,KAHL,Kalanga Hydro Limited,1811,548.90
4,KKHC,Khani Khola Hydropower Company Limited,1464,299.00
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1111,560.00
6,PRVU,Prabhu Bank Limited,964,181.80
7,SOPL,Sopan Pharmaceuticals Limited,906,783.00
8,RSML,Reliance Spinning Mills Limited,838,2725.00
9,RIDI,Ridi Power Company Limited,793,359.60
10,BHCL,Bikash Hydropower Company Limited,773,552.00
11,PCIL,Palpa Cements Industries Limited,770,622.00
12,YMHL,Yambaling Hydropower Limited,737,637.00
13,AKJCL,Ankhukhola Hydropower Company Limited,706,349.10
14,ECL,Everest Colour Limited,666,1470.00
15,KBL,Kumari Bank Limited,663,212.10
