Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,644.49","2,646.86","2,616.17","2,622.48",-19.34,-0.73,"5,073,518,662.89"
Sensitive Index,464.61,464.76,459.85,461.09,-2.55,-0.55,"1,127,098,171.95"
Float Index,181.46,181.61,179.56,179.97,-1.30,-0.72,"4,483,257,735.55"
Sensitive Float Index,156.94,157.03,155.41,155.76,-0.88,-0.56,"1,127,098,171.95"
Banking SubIndex,"1,458.43","1,458.43","1,438.97","1,443.05",-8.63,-0.59,"441,217,743.20"
Development Bank Index,"5,565.86","5,573.59","5,521.33","5,533.91",-33.15,-0.59,"235,674,851.30"
Finance Index,"2,342.98","2,346.07","2,324.72","2,338.62",-8.95,-0.38,"184,216,229.70"
Hotels And Tourism,"7,316.22","7,324.43","7,218.73","7,254.24",-61.97,-0.84,"86,999,915.00"
HydroPower Index,"3,739.22","3,751.33","3,698.33","3,710.41",-34.55,-0.92,"2,538,735,774.50"
Investment,96.74,96.90,95.68,95.93,-0.80,-0.83,"145,156,919.30"
Life Insurance,"11,758.64","11,765.82","11,649.20","11,670.68",-90.33,-0.76,"81,910,978.00"
Manufacturing And Processing,"10,507.78","10,564.51","10,322.50","10,330.73",-147.06,-1.40,"458,280,811.60"
Microfinance Index,"4,552.38","4,562.89","4,508.59","4,529.07",-17.01,-0.37,"183,619,599.40"
Mutual Fund,21.02,21.02,20.79,20.87,-0.14,-0.70,"51,014,828.75"
Non Life Insurance,"10,570.10","10,580.24","10,413.67","10,459.52",-60.66,-0.57,"53,241,445.45"
Others Index,"1,930.61","1,938.94","1,907.31","1,920.03",-18.92,-0.97,"70,106,722.00"
Trading Index,"3,244.41","3,319.91","3,244.41","3,257.86",13.44,0.41,"4,096,746.10"
