rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,247668789.42,538639812.59,786308602.01,-290971023.1700001,65030146.24
2,33,Dakshinkali Investment Securities Pvt.Limited,624558408.70,50804637.60,675363046.30,573753771.1,3737590.00
3,47,Neev Securities Pvt.Ltd,36499992.40,528387200.70,564887193.10,-491887208.3,297282.00
4,45,Imperial Securities Co .Pvt.Limited,229643806.10,142473143.50,372116949.60,87170662.6,8025647.00
5,49,Online Securities Limited,142877002.00,206351056.50,349228058.50,-63474054.5,10425630.00
6,34,Vision Securities Pvt.Limited,190385841.52,150755762.50,341141604.02,39630079.02000001,13366223.60
7,62,Capital Max Securities Limited,181715288.30,122702252.60,304417540.90,59013035.70000002,44586595.00
8,48,Trishakti Securities Public Limited,151616726.00,122284071.50,273900797.50,29332654.5,7996141.20
9,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,140260442.20,127655108.50,267915550.70,12605333.699999988,5302524.80
10,42,Sani Securities Company Limited,148692853.20,110017551.00,258710404.20,38675302.19999999,8283809.80
11,35,Kohinoor Investment and Securities Pvt.Ltd,116354215.60,87450981.40,203805197.00,28903234.199999988,5517907.00
12,44,Dynamic Money Managers Securities Pvt.Ltd,103224425.60,89145139.85,192369565.45,14079285.75,26388423.60
13,57,Arya Tara Investment And Securities Pvt. Ltd.,98058972.60,90229897.30,188288869.90,7829075.299999997,5419630.00
14,4,Stock Broker Opal Securities Investment Pvt. Limited,71081944.95,104768587.62,175850532.57,-33686642.67,2287293.60
15,14,Nepal Stock House Pvt. Limited,95029399.50,75400688.60,170430088.10,19628710.900000006,3200736.00
