rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,524.60,68.40,14.99
2,MEPDL,Mount Everest Power Development Limited,603.20,78.60,14.98
3,MEHL,Manakamana Engineering Hydropower Limited,282.90,12.90,4.78
4,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,455.00,16.00,3.64
5,HLICF,HLI Large Cap Fund,8.70,0.30,3.57
6,NLO,Nepal Lube Oil Limited,277.40,8.00,2.97
7,SBLD89,10.75 % SBL Debenture 2089,1266.00,36.00,2.93
8,NICAD2091,7% NIC Asia Debenture 2091,1062.00,30.00,2.91
9,NBLD85,8% Nabil Debenture 2085,1051.00,29.30,2.87
10,EBLD91,7.50% Everest Bank Limited Debenture  2091,1100.00,30.00,2.80
11,LVF2,Laxmi Value Fund-II,9.65,0.24,2.55
12,CIZBD86,10.25% Citizens Bank Debenture 2086,1214.90,29.90,2.52
13,KBSH,Kutheli Bukhari Small Hydropower Limited,942.80,22.70,2.47
14,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1457.00,34.90,2.45
15,UMHL,United Modi Hydropower Limited,602.50,13.70,2.33
