label,value
Total Turnovers (Rs.),"5,073,518,662.90"
Total Traded Shares,"15,196,982"
Total Transaction,"55,246"
Total Scrips Traded,347
Total Market Cap (Rs.),"4,511,022.91 Millions"
Floated Market Cap (Rs.),"1,521,864.05 Millions"
