rank,symbol,company_name,turnover,ltp
1,ADBLB87,4% Agricultural Bond 2087,506800000.00,1012.00
2,SOHL,Solu Hydropower Limited,391455342.40,687.80
3,KKHC,Khani Khola Hydropower Company Limited,252642934.10,299.00
4,RSML,Reliance Spinning Mills Limited,167868385.00,2725.00
5,UMHL,United Modi Hydropower Limited,164730180.60,602.50
6,RIDI,Ridi Power Company Limited,154390712.30,359.60
7,AKJCL,Ankhukhola Hydropower Company Limited,125671914.40,349.10
8,CFCL,Central Finance Limited,94915457.20,595.00
9,SGHL,Sanigad Hydro Limited,85678058.30,532.00
10,TAMOR,Sanima Middle Tamor Hydropower Limited,79298514.20,455.00
11,BHCL,Bikash Hydropower Company Limited,70874088.00,552.00
12,NGPL,Ngadi Group Power Limited,68274971.10,409.90
13,SAPDBL,Saptakoshi Development Bank Limited,67323423.70,730.00
14,NRN,NRN Infrastructure and Development Limited,64019348.20,1373.00
15,SAHAS,Sahas Urja Limited,62690864.50,684.60
