rank,symbol,company_name,transactions,ltp
1,HATHY,Hathway Investment Nepal Limited,2291,489.00
2,HDL,Himalayan Distillery Limited,2175,1284.00
3,KBL,Kumari Bank Limited,1486,228.00
4,SGHL,Sanigad Hydro Limited,1431,496.00
5,GHL,Ghalemdi Hydro Limited,1411,254.20
6,SOHL,Solu Hydropower Limited,1253,657.90
7,LEC,Liberty Energy Company Limited,1186,260.00
8,GBIME,Global IME Bank Limited,1147,247.50
9,GLH,Greenlife Hydropower Limited,1071,280.00
10,HBL,Himalayan Bank Limited,1060,200.00
11,LSL,Laxmi Sunrise Bank Limited,993,250.00
12,KAHL,Kalanga Hydro Limited,970,497.50
13,SBL,Siddhartha Bank Limited,966,458.00
14,MEPDL,Mount Everest Power Development Limited,921,685.40
15,HDHPC,Himal Dolakha Hydropower Company Limited,913,226.00
