label,value
Total Turnovers (Rs.),"7,050,398,624.97"
Total Traded Shares,"21,589,761"
Total Transaction,"70,691"
Total Scrips Traded,356
Total Market Cap (Rs.),"4,565,718.45 Millions"
Floated Market Cap (Rs.),"1,547,739.09 Millions"
