rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,831890442.60,488928525.10,1320818967.70,342961917.5,142350663.40
2,42,Sani Securities Company Limited,241435042.50,527675803.12,769110845.62,-286240760.62,46727406.00
3,45,Imperial Securities Co. Limited,263935204.30,258591928.15,522527132.45,5343276.150000006,20394073.20
4,34,Vision Securities Pvt.Limited,210427968.30,228470838.30,438898806.60,-18042870.0,13506584.20
5,49,Online Securities Limited,172034910.68,239687979.50,411722890.18,-67653068.82,13113733.60
6,17,ABC Securities Pvt. Limited,198014076.10,180598881.90,378612958.00,17415194.199999988,8826375.20
7,44,Dynamic Money Managers Securities Pvt.Ltd,208050187.40,170181354.50,378231541.90,37868832.900000006,37761133.80
8,48,Trishakti Securities Public Limited,188098654.52,188741422.80,376840077.32,-642768.2800000012,16404632.12
9,57,Arya Tara Investment And Securities Pvt. Ltd.,166203179.00,176773919.10,342977098.10,-10570740.099999994,5044945.80
10,33,Dakshinkali Investment Securities Pvt.Limited,218187093.90,93920987.30,312108081.20,124266106.60000001,7982830.00
11,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,143893452.70,145109579.60,289003032.30,-1216126.900000006,5821885.20
12,35,Kohinoor Investment and Securities Pvt.Ltd,135191042.30,148515543.85,283706586.15,-13324501.549999982,4160147.20
13,14,Nepal Stock House Pvt. Limited,123237775.85,144980527.60,268218303.45,-21742751.75,4755285.60
14,1,Kumari Securities Pvt. Limited,105751636.80,124332224.00,230083860.80,-18580587.200000003,1348014.60
15,65,Sharepro Securities Private Limited,94348776.10,134425056.20,228773832.30,-40076280.099999994,12650028.20
