rank,symbol,company_name,volume,ltp
1,HLICF,HLI Large Cap Fund,3000700.00,8.24
2,HATHY,Hathway Investment Nepal Limited,960079.00,489.00
3,GHL,Ghalemdi Hydro Limited,870653.00,254.20
4,KBL,Kumari Bank Limited,797064.00,228.00
5,LEC,Liberty Energy Company Limited,753438.00,260.00
6,SFEF,Sunrise Focused Equity Fund,702900.00,9.00
7,LSL,Laxmi Sunrise Bank Limited,693050.00,250.00
8,HDHPC,Himal Dolakha Hydropower Company Limited,487382.00,226.00
9,GBIME,Global IME Bank Limited,455178.00,247.50
10,AKJCL,Ankhukhola Hydropower Company Limited,378206.00,364.80
11,NBL,Nepal Bank Limited,352689.00,297.00
12,SBL,Siddhartha Bank Limited,333403.00,458.00
13,TAMOR,Sanima Middle Tamor Hydropower Limited,323001.00,533.00
14,RIDI,Ridi Power Company Limited,320644.00,349.70
15,HDL,Himalayan Distillery Limited,318660.00,1284.00
