Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,650.19","2,662.71","2,637.57","2,654.28",7.06,0.26,"7,050,398,624.96"
Sensitive Index,471.51,473.94,469.90,473.79,2.71,0.57,"2,750,821,038.50"
Float Index,182.81,183.53,181.82,182.99,0.53,0.29,"6,980,162,833.30"
Sensitive Float Index,159.45,160.29,158.80,160.00,0.68,0.42,"2,750,821,038.50"
Banking SubIndex,"1,517.28","1,523.91","1,507.18","1,516.46",5.29,0.35,"1,213,604,585.40"
Development Bank Index,"5,528.24","5,543.19","5,479.78","5,519.32",23.68,0.43,"311,822,266.70"
Finance Index,"2,263.67","2,278.07","2,244.47","2,255.64",-11.88,-0.52,"136,329,635.50"
Hotels And Tourism,"7,210.19","7,240.02","7,173.22","7,232.77",22.57,0.31,"103,688,460.50"
HydroPower Index,"3,680.57","3,685.90","3,649.47","3,659.63",-5.45,-0.14,"2,911,201,196.10"
Investment,97.24,98.53,96.07,98.01,0.47,0.48,"748,578,823.50"
Life Insurance,"11,951.58","12,047.44","11,833.70","12,047.44",98.83,0.82,"205,592,945.70"
Manufacturing And Processing,"10,674.26","10,807.01","10,640.72","10,686.34",-26.32,-0.24,"851,706,678.10"
Microfinance Index,"4,545.74","4,599.17","4,545.63","4,590.96",22.05,0.48,"281,274,466.90"
Mutual Fund,19.64,19.69,19.40,19.61,-0.05,-0.30,"39,244,039.57"
Non Life Insurance,"9,800.13","9,872.46","9,721.91","9,795.79",-2.39,-0.02,"63,392,134.80"
Others Index,"1,834.90","1,861.03","1,826.40","1,860.62",24.97,1.36,"107,658,013.00"
Trading Index,"3,310.87","3,379.74","3,257.50","3,279.97",-30.89,-0.93,"45,313,627.10"
