rank,symbol,company_name,turnover,ltp
1,HATHY,Hathway Investment Nepal Limited,444044499.00,489.00
2,HDL,Himalayan Distillery Limited,403636294.30,1284.00
3,GHL,Ghalemdi Hydro Limited,221528757.80,254.20
4,LEC,Liberty Energy Company Limited,199928211.90,260.00
5,KBL,Kumari Bank Limited,182767383.40,228.00
6,TAMOR,Sanima Middle Tamor Hydropower Limited,174742604.60,533.00
7,LSL,Laxmi Sunrise Bank Limited,173751136.80,250.00
8,NRN,NRN Infrastructure and Development Limited,157745628.30,1448.00
9,SBL,Siddhartha Bank Limited,152142701.60,458.00
10,SOHL,Solu Hydropower Limited,141510295.10,657.90
11,AKJCL,Ankhukhola Hydropower Company Limited,138373955.70,364.80
12,SHIVM,Shivam Cements Limited,127717266.70,684.10
13,GBIME,Global IME Bank Limited,113005565.30,247.50
14,RSML,Reliance Spinning Mills Limited,112838364.50,2699.00
15,RIDI,Ridi Power Company Limited,112520746.80,349.70
