rank,symbol,company_name,close,change,change_percent
1,MSHL,Mid Solu Hydropower Company Limited,606.00,79.00,14.99
2,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,820.00,59.00,7.75
3,MKJC,Mailung Khola Jal Vidhyut Company Limited,338.00,18.00,5.63
4,MANDU,Mandu Hydropower Limited,754.00,38.80,5.43
5,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1160.00,54.90,4.97
6,HDL,Himalayan Distillery Limited,1284.00,60.00,4.90
7,GHL,Ghalemdi Hydro Limited,254.20,10.90,4.48
8,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,706.00,28.00,4.13
9,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1100.00,39.00,3.68
10,PURE,Pure Energy Limited,835.00,27.00,3.34
11,NTC,Nepal Doorsanchar Company Limited,920.00,28.00,3.14
12,NBF2,Nabil Balanced Fund - 2,9.60,0.29,3.11
13,NABILD87,9% Nabil Debenture 2087,1134.00,33.00,3.00
14,RBCLPO,Rastriya Beema Company Limited Promoter Share,11870.00,344.40,2.99
15,SFMF,Sunrise First Mutual Fund,9.22,0.26,2.90
